code,iso,country,sovereign
248,ALA,Aland Islands,Finland
16,ASM,American Samoa,United States of America
NA,NA,Azores,Portugal
535,BES,"Bonaire, Sint Eustatius, and Saba",Netherlands
74,BVT,Bouvet Island,Norway
86,IOT,British Indian Ocean Territory,United Kingdom
162,CXR,Christmas Island,Australia
166,CCK,Cocos Islands,Australia
999,NCY,Northern Cyprus,Cyprus
254,GUF,French Guiana,France
260,ATF,French Southern Territories,France
292,GIB,Gibraltar,United Kingdom
312,GLP,Guadeloupe,France
316,GUM,Guam,United States of America
334,HMD,Heard Island and McDonald Islands,Australia
474,MTQ,Martinique,France
NA,NA,Madeira,Portugal
175,MYT,Mayotte,France
500,MSR,Montserrat,United Kingdom
574,NFK,Norfolk Island,Australia
580,MNP,Northern Mariana Islands,United States of America
612,PCN,Pitcairn,United Kingdom
630,PRI,Puerto Rico,United States of America
638,REU,Reunion,France
654,SHN,Saint Helena,United Kingdom
663,MAF,Saint Martin,France
666,SPM,Saint Pierre and Miquelon,France
239,SGS,South Georgia and the South Sandwich Islands,United Kingdom
744,SJM,Svalbard and Jan Mayen Islands,Norway
772,TKL,Tokelau,New Zealand
581,UMI,United States Minor Outlying Islands,United States of America
850,VIR,United States Virgin Islands,United States of America
7061,SML,Somaliland,Somalia
888,ACI,Ashmore and Cartier Islands,Australia
