Type,Variable,Description,Abbreviation,PolicyObjective,IssueCategory,Units,RawPolarity,RAW Processing Script,Data available?,Calculation required,RawFileExists,Aggregate,Normalization,Transformation,Alpha,Target_Good,Target_Bad,Materiality,Oldyear,Source,Notes
Auxiliary,GDP,"GDP [PPP, constant 2017 international]",GDP,,,constant 2017 international,,~/Source/Auxiliary Variables/,yes,,yes,sum,none,none,,,,,,WB_IMF,
Auxiliary,GDP per capita,GDP / POP,GPC,,,constant 2017 international/person,,~/Source/Auxiliary Variables/,yes, =GDP/POP,yes,drop,none,log,,,,,,WB_IMF,
Auxiliary,GDP growth rate,"GDP growth rate, average over ten years",GDB,,,proportion,,,yes,,no,drop,none,none,,,,,,WB_IMF,
Auxiliary,Population,Population,POP,,,people,,~/Source/Auxiliary Variables/,yes,,yes,sum,none,log,,,,,,WB_IMF,
Auxiliary,Population in 2050,Population projected to year 2050,PPO,,,people,,~/Source/Auxiliary Variables/01_POP2050_raw.R,yes,,yes,sum,none,log,,,,,,WB_IMF,
Auxiliary,Population Density,Population Density (population/sq. km),PDN,,,pop/km^2,,~/Source/Auxiliary Variables/PDN_raw.R,yes,,yes,drop,none,log,,,,,,WB,
Auxiliary,Urbanization,% of population in urban areas,URB,,,%,,~/Source/Auxiliary Variables/URB_raw.R,yes,,yes,drop,none,none,,,,,,WB,
Driver,Population growth rate,Population growth rate,PGR,,,%,,,yes,,no,drop,none,none,,,,,,WB,
Driver,Control of Corruption,Control of Corruption,CCO,,,unitless,,,no,,no,drop,none,none,,,,,,WGI,
Driver,Ease of Doing Business Index,Ease of Doing Business Index,EBI,,,unitless,,,no,,no,drop,none,none,,,,,,WB,
Driver,"Exports, value added to GDP",Exports of goods and services (pct of GDP),EXG,,,%,,,no,,no,drop,none,log,,,,,,WB,
Driver,Government Effectiveness,Government Effectiveness,GOE,,,unitless,,~/Source/Z_Covariates/GOE_raw.R,yes,,yes,drop,none,none,,,,,,WGI,
Driver,Index of Economic Freedom,Index of Economic Freedom,IEF,,,unitless,,,no,,no,drop,none,none,,,,,,Heritage Foundation,
