"code","iso","country","BLC.raw.2000","BLC.raw.2001","BLC.raw.2002","BLC.raw.2003","BLC.raw.2004","BLC.raw.2005","BLC.raw.2006","BLC.raw.2007","BLC.raw.2008","BLC.raw.2009","BLC.raw.2010","BLC.raw.2011","BLC.raw.2012","BLC.raw.2013","BLC.raw.2014","BLC.raw.2015","BLC.raw.2016","BLC.raw.2017","BLC.raw.2018","BLC.raw.2019","BLC.raw.2020","BLC.raw.2021","BLC.raw.2022"
4,"AFG","Afghanistan",NA,NA,2.87299412713293e-10,2.69865331279847e-10,2.71626505729555e-10,2.47799473266853e-10,2.40936884745491e-10,2.14441710317569e-10,2.20146510410804e-10,1.982429044269e-10,1.82561292494741e-10,1.93550162667232e-10,1.73570327427097e-10,1.74698507580909e-10,1.73613675292734e-10,1.70815799428721e-10,1.6781601011573e-10,1.65330801037967e-10,1.6681527129261e-10,1.64095922449123e-10,1.67064993352534e-10,2.14631936460642e-10,NA
8,"ALB","Albania",8.0982958188105e-11,7.65580410252579e-11,7.06769473789168e-11,7.50704912899877e-11,7.06804486955835e-11,6.72146899437932e-11,6.07988513910961e-11,5.56188675880261e-11,5.71641513246818e-11,5.54477318298574e-11,5.05460738866214e-11,4.93713017923898e-11,4.40464462854452e-11,4.3929515793094e-11,4.16397854965283e-11,3.85269147893607e-11,3.40891088228064e-11,3.03425142509995e-11,2.67574320289256e-11,2.3668740045789e-11,1.88150155811786e-11,1.72625451975748e-11,1.55039880745487e-11
12,"DZA","Algeria",1.81009937260547e-10,1.76315898203292e-10,1.77512206482697e-10,1.76290898149065e-10,1.77501806693144e-10,1.73081253144111e-10,1.73466172539917e-10,1.7171261896127e-10,1.68299622223199e-10,1.68594588060204e-10,1.62027480518505e-10,1.60536696217364e-10,1.58846571266283e-10,1.55503058055457e-10,1.53005014044663e-10,1.50692533382306e-10,1.43015344519584e-10,1.38515915437324e-10,1.37209183527556e-10,1.35380687283627e-10,1.2871163788589e-10,1.258645406556e-10,1.21282581246354e-10
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",2.13152071223916e-10,2.08079320712744e-10,1.8944112677531e-10,1.86790493630792e-10,1.68615628279991e-10,1.47142181959274e-10,1.46802995954705e-10,1.37230611777973e-10,1.32600555348997e-10,1.38671925479768e-10,1.36204655940487e-10,1.33791289168606e-10,1.25303908083411e-10,1.31634465433801e-10,1.28974436028828e-10,1.2924064733128e-10,1.26075676447563e-10,1.18885989901699e-10,1.2084796744673e-10,1.28402853587934e-10,1.09775347626706e-10,1.20065417764499e-10,1.16347401522938e-10
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",1.72336782966853e-11,1.83643786202364e-11,1.67142161107329e-11,1.61617762513121e-11,1.53556389295755e-11,1.47783454084781e-11,1.39644931507134e-11,1.37576254775195e-11,1.49088187595394e-11,1.82125300204084e-11,2.06857965473221e-11,1.33982899067443e-11,1.41559823369063e-11,1.40914081727309e-11,1.34251532819543e-11,1.31371982836279e-11,1.2448406996043e-11,1.22870588601279e-11,1.15690173315916e-11,1.12782488506338e-11,1.2281751172064e-11,1.17135366497955e-11,1.1030554783318e-11
32,"ARG","Argentina",4.31884343697316e-11,4.11932571607828e-11,4.41375415312131e-11,4.28462250110277e-11,4.11627905085092e-11,3.88912635811971e-11,3.68024151342314e-11,3.59360816368213e-11,3.42309602976576e-11,3.31639243562262e-11,3.18741058879777e-11,3.03814828569706e-11,2.88174060922098e-11,3.05617902150281e-11,2.88273042950173e-11,2.83949483972371e-11,2.83813516388042e-11,2.79006715595896e-11,2.74404496194096e-11,2.73999540646612e-11,2.58206430650469e-11,2.68843315674947e-11,2.59855079099725e-11
51,"ARM","Armenia",3.5387893850761e-11,3.15114838324135e-11,2.79494713664679e-11,2.51393722073287e-11,2.33772693362538e-11,2.05341043306554e-11,1.87772599063943e-11,1.74011970899514e-11,1.69108789774821e-11,1.95342450966726e-11,1.89557945677073e-11,1.81712473942328e-11,1.6876294389645e-11,1.65485166560529e-11,1.61707848703654e-11,2.13671340447966e-11,2.20409430060855e-11,1.60096667457664e-11,1.80269635620241e-11,1.5233716721334e-11,1.25880921008524e-11,1.19282324066622e-11,1.12190576113746e-11
533,"ABW","Aruba",3.04034552132194e-11,3.0474503729585e-11,2.57535336043362e-11,2.53342517691905e-11,2.28498188043822e-11,2.4716706816376e-11,2.60714480445025e-11,2.68165523866949e-11,2.84411726362201e-11,3.35867496027857e-11,3.4584109888306e-11,1.87550942437926e-11,2.14732715912547e-11,2.00555591429891e-11,2.00321967334604e-11,1.96597846703026e-11,1.92621007054101e-11,1.84151641761799e-11,1.75864166019245e-11,1.78566102357124e-11,1.92577575080936e-11,1.67827698057138e-11,NA
36,"AUS","Australia",3.11870214982244e-11,3.08768331142035e-11,3.06294932686409e-11,3.05021578257629e-11,2.86346503500433e-11,2.8236389725166e-11,2.70293687538498e-11,2.6875477306585e-11,2.68629021031126e-11,2.55566506059801e-11,2.51553249950386e-11,2.41610464570225e-11,2.39210604188293e-11,2.38110770478267e-11,2.29971508841768e-11,2.20408627459316e-11,2.15887043880055e-11,2.15685451750741e-11,2.15028369566731e-11,2.02266417315688e-11,1.96988830130013e-11,2.01783316334519e-11,1.93145832970696e-11
40,"AUT","Austria",1.71663369318805e-11,1.78144076434186e-11,1.71670369271831e-11,1.81044857074587e-11,1.79740751048726e-11,1.76493262654079e-11,1.69722959959817e-11,1.58792049687216e-11,1.50900321906613e-11,1.49831419012001e-11,1.48076756820587e-11,1.34913998841156e-11,1.29777093540714e-11,1.18792116251754e-11,1.07046521008422e-11,1.0449366120458e-11,9.84238432308892e-12,9.41239836797134e-12,8.53068156828588e-12,7.97201791900067e-12,7.9203723621039e-12,7.86880841913319e-12,7.16207936601938e-12
