"code","iso","country","BLC.raw.2000","BLC.raw.2001","BLC.raw.2002","BLC.raw.2003","BLC.raw.2004","BLC.raw.2005","BLC.raw.2006","BLC.raw.2007","BLC.raw.2008","BLC.raw.2009","BLC.raw.2010","BLC.raw.2011","BLC.raw.2012","BLC.raw.2013","BLC.raw.2014","BLC.raw.2015","BLC.raw.2016","BLC.raw.2017","BLC.raw.2018","BLC.raw.2019","BLC.raw.2020","BLC.raw.2021","BLC.raw.2022"
4,"AFG","Afghanistan",3.81945520779583e-07,3.80559417704029e-07,3.6787631693098e-07,3.48755991161929e-07,3.42265852494153e-07,3.3510433894637e-07,3.29359070012896e-07,3.27740825213608e-07,3.42733873260058e-07,3.61544032822639e-07,3.69899085416503e-07,3.79570511075796e-07,3.68460429861045e-07,3.78281826211684e-07,3.72305782355673e-07,3.60201697195532e-07,3.52652286915169e-07,3.46548753017951e-07,3.43756058221383e-07,3.41306696400961e-07,3.28840876334654e-07,3.25600138861713e-07,3.17895706809029e-07
8,"ALB","Albania",4.77198737202818e-07,4.93144081231319e-07,4.77343705496534e-07,5.37053949321763e-07,5.35766856289307e-07,5.40411576880412e-07,5.2095798189456e-07,5.08919135858724e-07,5.66619555104397e-07,5.71882456203577e-07,5.4334332422791e-07,5.45690035060029e-07,4.94551314518268e-07,4.99094320769164e-07,4.82472593033972e-07,4.57639553325987e-07,4.19017941622718e-07,3.87504002615842e-07,3.56331913519036e-07,3.23153620464387e-07,2.49832734090904e-07,2.51963149663824e-07,2.40337597225082e-07
12,"DZA","Algeria",1.59038776395063e-06,1.57381512566525e-06,1.65080709514768e-06,1.73384949120221e-06,1.79538206028746e-06,1.82884105218233e-06,1.83739656498525e-06,1.85029483874404e-06,1.82557572975397e-06,1.82496499261591e-06,1.78355744879591e-06,1.78419984786797e-06,1.79031221678638e-06,1.7666138900801e-06,1.76893071737507e-06,1.77088351679065e-06,1.70021260483958e-06,1.63580135321082e-06,1.60889811104496e-06,1.57410914650273e-06,1.39584820749364e-06,1.38817748663829e-06,1.35683460306379e-06
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",1.00786279009025e-06,9.92124051811291e-07,9.93016398436059e-07,9.7455895054344e-07,9.42432866128743e-07,9.12956727092001e-07,9.80206501893436e-07,1.00732606068575e-06,1.04306041256499e-06,1.06030556056872e-06,1.04738938750476e-06,1.02528092025387e-06,1.00381588476345e-06,1.06619689277045e-06,1.05541903619956e-06,1.0296454464217e-06,9.44045221873711e-07,8.57888599481287e-07,8.31263623452995e-07,8.47750206884578e-07,6.61911523850443e-07,7.09807017958922e-07,6.87161212086115e-07
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",3.19608604650406e-07,3.20140715768716e-07,2.90630591542731e-07,2.94741264138186e-07,2.92940498595484e-07,2.96691152970318e-07,3.11972162896889e-07,3.31389333262064e-07,3.53740771331239e-07,3.74659657367033e-07,3.86860598786544e-07,2.42734894939204e-07,2.62254489287751e-07,2.57076359844919e-07,2.52112820616278e-07,2.54134707884871e-07,2.52298695743441e-07,2.55295096533207e-07,2.55357779369979e-07,2.58369334349312e-07,2.30744190837703e-07,2.33098002115995e-07,2.36692959437246e-07
32,"ARG","Argentina",8.00057523946403e-07,7.21479471471189e-07,6.81472369986555e-07,7.1260016090296e-07,7.38878316810358e-07,7.52084940683402e-07,7.61046089142363e-07,8.01958780407279e-07,7.87051595370495e-07,7.10148501492938e-07,7.49719456180746e-07,7.48831526251607e-07,6.95043199689641e-07,7.46445334261371e-07,6.78885871778617e-07,6.7960147529577e-07,6.58150132758017e-07,6.58375432174923e-07,6.24194538685443e-07,6.04764884062374e-07,5.08284932624886e-07,5.78744278657574e-07,5.83298995142813e-07
51,"ARM","Armenia",1.38786277681957e-07,1.36977505583607e-07,1.38775396051291e-07,1.43263713249419e-07,1.4809163849766e-07,1.490612500831e-07,1.5535902449363e-07,1.64901948177431e-07,1.72517337258102e-07,1.72285741165641e-07,1.71906075697911e-07,1.73556457297236e-07,1.73656658015536e-07,1.76693537373515e-07,1.79585176922305e-07,2.45851077417056e-07,2.55242575867827e-07,2.00275161209414e-07,2.38522525755096e-07,2.18109544553376e-07,1.6814792089512e-07,1.692987961716e-07,1.79974211622857e-07
533,"ABW","Aruba",1.13225600283157e-06,1.16178993963039e-06,9.60858877632476e-07,9.4632446015796e-07,9.07454200442333e-07,9.68057846053812e-07,1.02061661304707e-06,1.06908786736382e-06,1.14039948351756e-06,1.17479763456479e-06,1.16338857420024e-06,6.46054047395568e-07,7.2612102665785e-07,7.16398573592211e-07,7.10486644414939e-07,7.17395853332894e-07,7.13539444311946e-07,7.1570882135121e-07,7.15885850225382e-07,7.28201788077973e-07,6.38495634423531e-07,6.52284728090943e-07,6.75018574667693e-07
