"code","iso","country","BKF.raw.2010","BKF.raw.2012","BKF.raw.2014","BKF.raw.2016","BKF.raw.2018","BKF.raw.2020"
4,"AFG","Afghanistan","-8888","-8888","-8888","-8888","-8888","-8888"
8,"ALB","Albania","-8888","-8888","0.0","-8888","-8888","-8888"
12,"DZA","Algeria","-8888","-8888","-8888","-8888","-8888","-8888"
20,"AND","Andorra","-8888","-8888","-8888","-8888","-8888","-8888"
24,"AGO","Angola","-8888","-8888","-8888","-8888","-8888","-8888"
660,"AIA","Anguilla","-8888","-8888","-8888","-8888","-8888","-8888"
28,"ATG","Antigua and Barbuda","-8888","-8888","-8888","-8888","-8888","-8888"
32,"ARG","Argentina","-8888","-8888","-8888","-8888","-8888","-8888"
51,"ARM","Armenia","-8888","-8888","-8888","-8888","-8888","-8888"
533,"ABW","Aruba","-8888","-8888","-8888","-8888","-8888","-8888"
36,"AUS","Australia","-8888","-8888","-8888","-8888","-8888","-8888"
40,"AUT","Austria","2795336.0","1.2455194E7","1.0833856E7","6626211.0","8006449.0","1.0696908E7"
31,"AZE","Azerbaijan","-8888","-8888","-8888","-8888","-8888","-8888"
44,"BHS","Bahamas","-8888","-8888","-8888","-8888","-8888","-8888"
48,"BHR","Bahrain","-8888","-8888","-8888","-8888","-8888","-8888"
50,"BGD","Bangladesh","-8888","-8888","-8888","-8888","-8888","-8888"
52,"BRB","Barbados","-8888","-8888","-8888","-8888","-8888","-8888"
112,"BLR","Belarus","-8888","-8888","-8888","-8888","-8888","-8888"
56,"BEL","Belgium","0.0","0.0","0.0","0.0","0.0","6130573.0"
84,"BLZ","Belize","-8888","-8888","-8888","-8888","-8888","-8888"
204,"BEN","Benin","-8888","-8888","-8888","-8888","-8888","-8888"
60,"BMU","Bermuda","-8888","-8888","-8888","-8888","-8888","-8888"
64,"BTN","Bhutan","-8888","-8888","-8888","-8888","-8888","-8888"
68,"BOL","Bolivia","-8888","-8888","-8888","-8888","-8888","-8888"
70,"BIH","Bosnia and Herzegovina","-8888","-8888","-8888","-8888","-8888","-8888"
72,"BWA","Botswana","-8888","-8888","-8888","-8888","-8888","-8888"
76,"BRA","Brazil","-8888","-8888","-8888","-8888","-8888","-8888"
92,"VGB","British Virgin Islands","-8888","-8888","-8888","-8888","-8888","-8888"
96,"BRN","Brunei Darussalam","-8888","-8888","-8888","-8888","-8888","-8888"
100,"BGR","Bulgaria","0.0","0.0","0.0","0.0","0.0","0.0"
854,"BFA","Burkina Faso","-8888","-8888","-8888","-8888","-8888","-8888"
108,"BDI","Burundi","-8888","-8888","-8888","-8888","-8888","-8888"
132,"CPV","Cabo Verde","-8888","-8888","-8888","-8888","-8888","-8888"
