"code","iso","country","BKF.raw.2010","BKF.raw.2012","BKF.raw.2014","BKF.raw.2016","BKF.raw.2018","BKF.raw.2020"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,"0.0",NA,NA,NA
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA
24,"AGO","Angola",NA,NA,NA,NA,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA
36,"AUS","Australia",NA,NA,NA,NA,NA,NA
40,"AUT","Austria","2795336.0","1.2455194E7","1.0833856E7","6626211.0","8006449.0","1.0696908E7"
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",NA,NA,NA,NA,NA,NA
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA
56,"BEL","Belgium","0.0","0.0","0.0","0.0","0.0","6130573.0"
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA
204,"BEN","Benin",NA,NA,NA,NA,NA,NA
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",NA,NA,NA,NA,NA,NA
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",NA,NA,NA,NA,NA,NA
100,"BGR","Bulgaria","0.0","0.0","0.0","0.0","0.0","0.0"
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",NA,NA,NA,NA,NA,NA
120,"CMR","Cameroon",NA,NA,NA,NA,NA,NA
124,"CAN","Canada",NA,NA,NA,NA,NA,NA
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA
152,"CHL","Chile",NA,NA,NA,NA,NA,NA
156,"CHN","China",NA,NA,NA,NA,NA,NA
170,"COL","Colombia",NA,NA,NA,NA,NA,NA
174,"COM","Comoros",NA,NA,NA,NA,NA,NA
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",NA,NA,NA,NA,NA,NA
384,"CIV","Cote d'Ivoire",NA,NA,NA,NA,NA,NA
191,"HRV","Croatia","0.0","42231.0","68554.0","148836.0","131084.0","198379.0"
192,"CUB","Cuba",NA,NA,NA,NA,NA,NA
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus","1066291.0","247708.0","462138.0","529443.0","372671.0","10731.0"
203,"CZE","Czech Republic","5830237.0","5136881.0","5784957.0","6651759.0","1.1715141E7","1.1946348E7"
180,"COD","Dem. Rep. Congo",NA,NA,NA,NA,NA,NA
208,"DNK","Denmark","0.0","0.0","0.0","0.0","3373517.0","2888420.0"
262,"DJI","Djibouti",NA,NA,NA,NA,NA,NA
212,"DMA","Dominica",NA,NA,NA,NA,NA,NA
214,"DOM","Dominican Republic",NA,NA,NA,NA,NA,NA
218,"ECU","Ecuador",NA,NA,NA,NA,NA,NA
818,"EGY","Egypt",NA,NA,NA,NA,NA,NA
222,"SLV","El Salvador",NA,NA,NA,NA,NA,NA
226,"GNQ","Equatorial Guinea",NA,NA,NA,NA,NA,NA
232,"ERI","Eritrea",NA,NA,NA,NA,NA,NA
233,"EST","Estonia","3386429.0","4195774.0","2462912.0","2220949.0","1839829.0","2196844.0"
748,"SWZ","Eswatini",NA,NA,NA,NA,NA,NA
231,"ETH","Ethiopia",NA,NA,NA,NA,NA,NA
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",NA,NA,NA,NA,NA,NA
246,"FIN","Finland","2898631.0","0.0","0.0","0.0","2986639.0","988428.0"
250,"FRA","France","4.1675038E7","3.9590727E7","3.2003351E7","3.154424E7","3.3796451E7","2.976072E7"
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",NA,NA,NA,NA,NA,NA
270,"GMB","Gambia",NA,NA,NA,NA,NA,NA
268,"GEO","Georgia",NA,NA,NA,NA,NA,NA
276,"DEU","Germany","9.1059219E7","9.1468812E7","9.395322E7","1.01929971E8","1.02205523E8","9.9531962E7"
288,"GHA","Ghana",NA,NA,NA,NA,NA,NA
300,"GRC","Greece","6414698.0","5440207.0","5434251.0","21302.0","1494700.0","1976774.0"
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",NA,NA,NA,NA,NA,NA
320,"GTM","Guatemala",NA,NA,NA,NA,NA,NA
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",NA,NA,NA,NA,NA,NA
624,"GNB","Guinea-Bissau",NA,NA,NA,NA,NA,NA
328,"GUY","Guyana",NA,NA,NA,NA,NA,NA
332,"HTI","Haiti",NA,NA,NA,NA,NA,NA
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA
340,"HND","Honduras",NA,NA,NA,NA,NA,NA
344,"HKG","Hong Kong",NA,NA,NA,NA,NA,NA
348,"HUN","Hungary","418617.0","435511.0","506055.0","510174.0","910148.0","8079627.0"
352,"ISL","Iceland","1834.0","2891.0","372949.0","543965.0","755176.0","490801.0"
356,"IND","India",NA,NA,NA,NA,NA,NA
360,"IDN","Indonesia",NA,NA,NA,NA,NA,NA
364,"IRN","Iran",NA,NA,NA,NA,NA,NA
368,"IRQ","Iraq",NA,NA,NA,NA,NA,NA
372,"IRL","Ireland","2067741.0","1984965.0","3731141.0","5412026.0","6300926.0","7515382.0"
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA
376,"ISR","Israel",NA,NA,NA,NA,NA,NA
380,"ITA","Italy","337196.0","160290.0","316928.0","138947.0","147624.0","301928.0"
388,"JAM","Jamaica",NA,NA,NA,NA,NA,NA
392,"JPN","Japan",NA,NA,NA,NA,NA,NA
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",NA,NA,NA,NA,NA,NA
398,"KAZ","Kazakhstan",NA,NA,NA,NA,NA,NA
404,"KEN","Kenya",NA,NA,NA,NA,NA,NA
296,"KIR","Kiribati",NA,NA,NA,NA,NA,NA
689,"XKX","Kosovo",NA,NA,NA,"0.0",NA,"0.0"
414,"KWT","Kuwait",NA,NA,NA,NA,NA,NA
417,"KGZ","Kyrgyzstan",NA,NA,NA,NA,NA,NA
418,"LAO","Laos",NA,NA,NA,NA,NA,NA
428,"LVA","Latvia","0.0","0.0","17081.0","20870.0","78273.0","64644.0"
422,"LBN","Lebanon",NA,NA,NA,NA,NA,NA
426,"LSO","Lesotho",NA,NA,NA,NA,NA,NA
430,"LBR","Liberia",NA,NA,NA,NA,NA,NA
434,"LBY","Libya",NA,NA,NA,NA,NA,NA
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania","0.0","66113.0","113364.0","199388.0","129493.0","125060.0"
442,"LUX","Luxembourg","91000.0","1934214.0","1362772.0","2737144.0","3393396.0","3161516.0"
446,"MAC","Macao",NA,NA,NA,NA,NA,NA
450,"MDG","Madagascar",NA,NA,NA,NA,NA,NA
454,"MWI","Malawi",NA,NA,NA,NA,NA,NA
458,"MYS","Malaysia",NA,NA,NA,NA,NA,NA
462,"MDV","Maldives",NA,NA,NA,NA,NA,NA
466,"MLI","Mali",NA,NA,NA,NA,NA,NA
470,"MLT","Malta","57469.0","433891.0","558184.0","889487.0","1407245.0","1753685.0"
584,"MHL","Marshall Islands",NA,NA,NA,NA,NA,NA
478,"MRT","Mauritania",NA,NA,NA,NA,NA,NA
480,"MUS","Mauritius",NA,NA,NA,NA,NA,NA
484,"MEX","Mexico",NA,NA,NA,NA,NA,NA
583,"FSM","Micronesia",NA,NA,NA,NA,NA,NA
498,"MDA","Moldova",NA,NA,NA,NA,NA,NA
492,"MCO","Monaco",NA,NA,NA,NA,NA,NA
496,"MNG","Mongolia",NA,NA,NA,NA,NA,NA
499,"MNE","Montenegro",NA,"0.0","0.0","0.0","0.0","0.0"
504,"MAR","Morocco",NA,NA,NA,NA,NA,NA
508,"MOZ","Mozambique",NA,NA,NA,NA,NA,NA
104,"MMR","Myanmar",NA,NA,NA,NA,NA,NA
516,"NAM","Namibia",NA,NA,NA,NA,NA,NA
520,"NRU","Nauru",NA,NA,NA,NA,NA,NA
524,"NPL","Nepal",NA,NA,NA,NA,NA,NA
528,"NLD","Netherlands","0.0","0.0","0.0","0.0","0.0","0.0"
540,"NCL","New Caledonia",NA,NA,NA,NA,NA,NA
554,"NZL","New Zealand",NA,NA,NA,NA,NA,NA
558,"NIC","Nicaragua",NA,NA,NA,NA,NA,NA
562,"NER","Niger",NA,NA,NA,NA,NA,NA
566,"NGA","Nigeria",NA,NA,NA,NA,NA,NA
570,"NIU","Niue",NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",NA,NA,NA,NA,NA,NA
807,"MKD","North Macedonia","0.0","0.0","0.0",NA,"0.0","0.0"
578,"NOR","Norway","49008.0","142617.0","440724.0","281846.0","506019.0","115616.0"
512,"OMN","Oman",NA,NA,NA,NA,NA,NA
586,"PAK","Pakistan",NA,NA,NA,NA,NA,NA
585,"PLW","Palau",NA,NA,NA,NA,NA,NA
591,"PAN","Panama",NA,NA,NA,NA,NA,NA
598,"PNG","Papua New Guinea",NA,NA,NA,NA,NA,NA
600,"PRY","Paraguay",NA,NA,NA,NA,NA,NA
604,"PER","Peru",NA,NA,NA,NA,NA,NA
608,"PHL","Philippines",NA,NA,NA,NA,NA,NA
616,"POL","Poland","3.285526E7","3.5103461E7","3.9141222E7","3.6154389E7","3.1971883E7","4.8249093E7"
620,"PRT","Portugal","65327.0","185024.0","356101.0","919860.0","631209.0","943885.0"
634,"QAT","Qatar",NA,NA,NA,NA,NA,NA
178,"COG","Republic of Congo",NA,NA,NA,NA,NA,NA
642,"ROU","Romania","162233.0","1036776.0","1029243.0","767434.0","602509.0","1240336.0"
643,"RUS","Russia",NA,NA,NA,NA,NA,NA
646,"RWA","Rwanda",NA,NA,NA,NA,NA,NA
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",NA,NA,NA,NA,NA,NA
662,"LCA","Saint Lucia",NA,NA,NA,NA,NA,NA
670,"VCT","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,NA
882,"WSM","Samoa",NA,NA,NA,NA,NA,NA
674,"SMR","San Marino",NA,NA,NA,NA,NA,NA
678,"STP","Sao Tome and Principe",NA,NA,NA,NA,NA,NA
682,"SAU","Saudi Arabia",NA,NA,NA,NA,NA,NA
686,"SEN","Senegal",NA,NA,NA,NA,NA,NA
688,"SRB","Serbia","0.0","0.0","0.0","367988.0","437897.0","593775.0"
690,"SYC","Seychelles",NA,NA,NA,NA,NA,NA
694,"SLE","Sierra Leone",NA,NA,NA,NA,NA,NA
702,"SGP","Singapore",NA,NA,NA,NA,NA,NA
534,"SXM","Sint Maarten",NA,NA,NA,NA,NA,NA
703,"SVK","Slovakia","0.0","0.0","0.0","372310.0","1255438.0","59448.0"
705,"SVN","Slovenia","1414485.0","1102333.0","1824496.0","1310493.0","4115408.0","3374025.0"
90,"SLB","Solomon Islands",NA,NA,NA,NA,NA,NA
706,"SOM","Somalia",NA,NA,NA,NA,NA,NA
710,"ZAF","South Africa",NA,NA,NA,NA,NA,NA
410,"KOR","South Korea",NA,NA,NA,NA,NA,NA
728,"SSD","South Sudan",NA,NA,NA,NA,NA,NA
724,"ESP","Spain","5713515.0","8193793.0","1.3021319E7","6040615.0","1.218038E7","4438233.0"
144,"LKA","Sri Lanka",NA,NA,NA,NA,NA,NA
275,"PSE","State of Palestine",NA,NA,NA,NA,NA,NA
729,"SDN","Sudan",NA,NA,NA,NA,NA,NA
740,"SUR","Suriname",NA,NA,NA,NA,NA,NA
752,"SWE","Sweden","792456.0","774087.0","2532492.0","6717184.0","3608305.0","3932056.0"
756,"CHE","Switzerland",NA,NA,NA,NA,NA,NA
760,"SYR","Syria",NA,NA,NA,NA,NA,NA
158,"TWN","Taiwan",NA,NA,NA,NA,NA,NA
762,"TJK","Tajikistan",NA,NA,NA,NA,NA,NA
834,"TZA","Tanzania",NA,NA,NA,NA,NA,NA
764,"THA","Thailand",NA,NA,NA,NA,NA,NA
626,"TLS","Timor-Leste",NA,NA,NA,NA,NA,NA
768,"TGO","Togo",NA,NA,NA,NA,NA,NA
776,"TON","Tonga",NA,NA,NA,NA,NA,NA
780,"TTO","Trinidad and Tobago",NA,NA,NA,NA,NA,NA
788,"TUN","Tunisia",NA,NA,NA,NA,NA,NA
792,"TUR","Turkiye","4588976.0","0.0",NA,"0.0","0.0","0.0"
