"code","iso","country","CDG.raw.2000","CDG.raw.2001","CDG.raw.2002","CDG.raw.2003","CDG.raw.2004","CDG.raw.2005","CDG.raw.2006","CDG.raw.2007","CDG.raw.2008","CDG.raw.2009","CDG.raw.2010","CDG.raw.2011","CDG.raw.2012","CDG.raw.2013","CDG.raw.2014","CDG.raw.2015","CDG.raw.2016","CDG.raw.2017","CDG.raw.2018","CDG.raw.2019","CDG.raw.2020","CDG.raw.2021","CDG.raw.2022"
4,"AFG","Afghanistan",NA,NA,4.98695716325283e-08,5.32923069149266e-08,4.16877630980489e-08,5.7237395568634e-08,6.20844617922148e-08,7.0724115362162e-08,1.03406981073235e-07,1.27981727821068e-07,1.46450594476813e-07,2.06384772408133e-07,1.55164843715189e-07,1.35444401568459e-07,1.30708896905104e-07,1.37560789223388e-07,1.24580088429042e-07,1.32080243903857e-07,1.43095084519308e-07,1.41063629563529e-07,1.54972845258651e-07,2.0192073505643e-07,NA
8,"ALB","Albania",1.66183305088039e-07,1.63386190957784e-07,1.81900566271475e-07,1.97903909671296e-07,1.82033553168576e-07,1.75999807562982e-07,1.52513350859954e-07,1.45310908152031e-07,1.50510402739591e-07,1.45940620581488e-07,1.52773628054608e-07,1.6551221893183e-07,1.48932191248291e-07,1.60752953056124e-07,1.7922500907302e-07,1.37708501505047e-07,1.31022375502103e-07,1.44236932090734e-07,1.28234564016517e-07,1.23866914352629e-07,1.33191452119316e-07,1.19487840743285e-07,1.15154121357094e-07
12,"DZA","Algeria",3.15832934415709e-07,3.11806763013453e-07,3.08373004681526e-07,2.9999420080829e-07,2.78909406519589e-07,3.18730907241246e-07,2.99012825252515e-07,3.00085463376778e-07,2.9624693740029e-07,3.11973463405216e-07,2.99858108547731e-07,3.08005621690158e-07,3.23070434967073e-07,3.26112303951312e-07,3.37597107562605e-07,3.44498807228096e-07,3.30468173878154e-07,3.39829457432112e-07,3.48383304780053e-07,3.59637884489473e-07,3.60535517726086e-07,3.6988625469324e-07,3.51040718258587e-07
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22055532309275e-07,1.15150506371547e-07,1.20250007254798e-07,1.22224080011816e-07,1.14924865999342e-07,1.14467358776393e-07,1.11818175643043e-07,1.10099931029016e-07,1.15791370767481e-07,1.10074752593652e-07,9.63513813355272e-08,8.59159170667171e-08,8.02400361142019e-08
24,"AGO","Angola",2.06342523246201e-07,1.9694140488889e-07,1.75132018548006e-07,1.84899541173884e-07,1.62183470476025e-07,1.27495487720608e-07,1.27353187821428e-07,1.14590436172332e-07,1.09888121235026e-07,1.20097040948748e-07,1.27922201901155e-07,1.25855103255072e-07,1.28557635107865e-07,1.21397013881531e-07,1.11568517209061e-07,1.16160109659359e-07,1.09902730403664e-07,1.0375386840769e-07,9.96405531521502e-08,8.99884542830221e-08,8.31737300737047e-08,8.58204730554892e-08,7.64549385742983e-08
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",2.55333082662076e-07,2.78529828206101e-07,3.02993951891992e-07,3.01076932034584e-07,2.99258454035552e-07,2.99343429822195e-07,2.85865820275083e-07,2.70778821364962e-07,2.72672573851127e-07,3.20258733948173e-07,3.4293277214717e-07,3.47451788268624e-07,3.42882494107367e-07,3.44955248776563e-07,3.38899860470931e-07,3.34837160527875e-07,3.25376547691482e-07,3.19327212342947e-07,3.04364080488844e-07,3.03846637451926e-07,3.55680982062288e-07,3.21659084694756e-07,2.99306064093845e-07
32,"ARG","Argentina",2.07891616809415e-07,2.04770838009244e-07,2.12766518005153e-07,2.10474908471735e-07,2.25774373406989e-07,2.13339879378324e-07,2.1340064724009e-07,1.94948763111958e-07,2.02208897780492e-07,2.0444671132907e-07,1.93720103866608e-07,1.86505895676815e-07,1.9004555966452e-07,1.83879721183643e-07,1.87483310403148e-07,1.85741494831283e-07,1.87883771484699e-07,1.79826208551267e-07,1.78435406379834e-07,1.79973733992022e-07,1.86822640639553e-07,1.92412131015915e-07,1.85833002606379e-07
51,"ARM","Armenia",2.80964727885511e-07,2.59386668441076e-07,1.99568809080562e-07,1.96611053298307e-07,1.90061624892984e-07,1.9783247072275e-07,1.75778862238874e-07,1.79136731667922e-07,1.83167072868364e-07,1.6689525449539e-07,1.59163941889845e-07,1.77617799474266e-07,1.91676630048604e-07,1.78669731066158e-07,1.74614436496181e-07,1.65130460398398e-07,1.56776444481981e-07,1.55288451994541e-07,1.55223042767394e-07,1.5560845459219e-07,1.8142113467717e-07,1.78330622671463e-07,1.43659472466034e-07
533,"ABW","Aruba",7.16631499594795e-07,6.96250747469815e-07,7.11543645283343e-07,7.39632929304814e-07,7.0422973167278e-07,7.34674545069537e-07,7.25422538022633e-07,7.31170571616343e-07,6.76045006179046e-07,7.57033902645397e-07,7.42480325513053e-07,7.16196580432555e-07,3.90495204771661e-07,2.34300078288866e-07,2.3733974843212e-07,2.35958822450669e-07,2.27295238552246e-07,2.17269960412748e-07,2.02169600807444e-07,2.05114324270278e-07,2.51949459290985e-07,2.07203126893964e-07,NA
36,"AUS","Australia",4.7781865425573e-07,4.78662274715203e-07,4.66395372331256e-07,4.60937180547934e-07,4.5836768874703e-07,4.48220815457296e-07,4.43302997797414e-07,4.35045683046002e-07,4.24869876356621e-07,4.20392221995955e-07,4.09332756831711e-07,3.98535041031425e-07,3.85772241009899e-07,3.69329586451782e-07,3.54418515255134e-07,3.54301709423405e-07,3.52510519804388e-07,3.47502924024906e-07,3.39149245569753e-07,3.32309544474838e-07,3.17185679966232e-07,3.02365680938294e-07,2.96090665841045e-07
40,"AUT","Austria",1.77739368206116e-07,1.86123916600677e-07,1.87806152894842e-07,2.00083132406471e-07,1.95504408567862e-07,1.94654324082957e-07,1.82731775354467e-07,1.69974325916939e-07,1.66121066728132e-07,1.58104118605811e-07,1.66096385817984e-07,1.56655743181096e-07,1.49751551456735e-07,1.50810629248208e-07,1.41861745843909e-07,1.45228851144675e-07,1.44243215378693e-07,1.46055529060393e-07,1.36376010496947e-07,1.37130941113926e-07,1.34005143771351e-07,1.36205705186298e-07,1.20821845735981e-07
31,"AZE","Azerbaijan",9.24891443102318e-07,8.03410205887525e-07,7.38118637860067e-07,7.14693052078456e-07,6.92039108549952e-07,5.73356694032622e-07,4.30379938746037e-07,2.99572324028193e-07,2.97483920181109e-07,2.39770098294622e-07,2.16062079170464e-07,2.36693206708323e-07,2.51336406165056e-07,2.43202987695828e-07,2.4228784587926e-07,2.42000105326035e-07,2.50061668066859e-07,2.48698124547692e-07,2.44801766581379e-07,2.60672843045674e-07,2.6091869931905e-07,2.61971749018133e-07,2.48641381576065e-07
44,"BHS","Bahamas",1.69620475137547e-07,1.58706173134925e-07,1.61802003372461e-07,1.6652687669348e-07,1.63316786778396e-07,1.46933807440337e-07,1.39467698973716e-07,1.38837232991886e-07,1.45477785412799e-07,1.70685701520912e-07,1.7381735580874e-07,1.63949318584903e-07,1.5435419520625e-07,1.5720154250513e-07,1.62429931222107e-07,1.69102630272681e-07,1.66455569540013e-07,1.84631881097464e-07,1.75472615352021e-07,1.79194974948524e-07,2.08392588190715e-07,1.71360094878056e-07,1.51209573260855e-07
48,"BHR","Bahrain",5.85753860930761e-07,4.56854036678502e-07,4.56229674210072e-07,4.5358859184013e-07,4.52156097861835e-07,4.68969572100509e-07,4.31966934387002e-07,5.49842044003948e-07,5.73780744379612e-07,5.29720119579015e-07,5.25374606513203e-07,5.0438763807076e-07,4.63222800791549e-07,5.04860292320523e-07,4.79807491524898e-07,4.91806527329581e-07,4.6173883155017e-07,4.60637271095693e-07,4.48390169227644e-07,5.05392772888232e-07,5.27370091668078e-07,5.23636064896733e-07,4.95082156095957e-07
50,"BGD","Bangladesh",9.05613691849165e-08,1.00840637177555e-07,1.00079361253077e-07,9.99666623098648e-08,1.02047638678881e-07,1.004002555974e-07,1.04144542234771e-07,9.95017226647474e-08,9.97093608217209e-08,1.02981675833523e-07,1.07159681376294e-07,1.05434463613283e-07,1.06245036025682e-07,1.02019667174464e-07,1.02742407288082e-07,1.06866493368117e-07,1.03923057189504e-07,1.03304460180327e-07,9.84213926695454e-08,1.1138312826859e-07,1.00003898154311e-07,9.86550374353188e-08,9.52331297984172e-08
