"code","iso","country","CHG.raw.2000","CHG.raw.2001","CHG.raw.2002","CHG.raw.2003","CHG.raw.2004","CHG.raw.2005","CHG.raw.2006","CHG.raw.2007","CHG.raw.2008","CHG.raw.2009","CHG.raw.2010","CHG.raw.2011","CHG.raw.2012","CHG.raw.2013","CHG.raw.2014","CHG.raw.2015","CHG.raw.2016","CHG.raw.2017","CHG.raw.2018","CHG.raw.2019","CHG.raw.2020","CHG.raw.2021","CHG.raw.2022"
4,"AFG","Afghanistan",NA,NA,1.6623246410867e-08,1.57867443528225e-08,1.56003080342055e-08,1.44191052431506e-08,1.39734154106838e-08,1.26297167804672e-08,1.32707749543104e-08,1.12326364044386e-08,1.10650275576539e-08,1.13492904596984e-08,1.00038378354406e-08,9.51718997325538e-09,9.50707666913833e-09,9.04793246881243e-09,8.87541927565723e-09,8.65992969838022e-09,8.7962476482961e-09,8.49058453349996e-09,8.40822100930148e-09,1.09811463362296e-08,NA
8,"ALB","Albania",6.97712281547848e-09,6.34133973629068e-09,5.96908912997546e-09,5.70235573438014e-09,5.27357534754746e-09,4.95609712688931e-09,4.64086205411671e-09,4.23167461665765e-09,3.69683059627522e-09,3.44437658751667e-09,3.3531947380902e-09,3.20767598062019e-09,3.25497257195146e-09,3.25308339414282e-09,3.25611067275734e-09,3.21465876582739e-09,3.08322624090386e-09,2.94302820863318e-09,2.85550582173635e-09,2.56615616164915e-09,2.48659782357022e-09,2.2539579189712e-09,2.09636089302785e-09
12,"DZA","Algeria",1.13538997287268e-08,9.80239279572457e-09,8.84054184318533e-09,9.07145151815453e-09,8.42376439176376e-09,8.15546676507838e-09,8.38621473408542e-09,7.70083997623624e-09,7.84036649840555e-09,7.0869454528954e-09,7.29672633502496e-09,7.04184122876858e-09,6.9769767757209e-09,6.64796063343083e-09,6.65005830281759e-09,6.45582407581623e-09,6.61012994842512e-09,6.52530103497576e-09,6.46826638418546e-09,6.22297251609197e-09,6.28152224541196e-09,6.58806210717552e-09,6.50941169251418e-09
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.10358163424104e-10,7.69271127099234e-10,7.99508371444877e-10,8.2112247236692e-10,7.81659560281796e-10,7.57657963912102e-10,7.36725067244223e-10,7.31116087748127e-10,7.25685851081978e-10,6.94157725061695e-10,7.78590770917063e-10,7.28890709748336e-10,6.22512932956493e-10
24,"AGO","Angola",2.74777505025318e-08,2.57497008395648e-08,2.28717165226216e-08,2.2630710035838e-08,2.22081826803783e-08,1.9389286941785e-08,1.50047158425779e-08,1.30957241216384e-08,1.18971213765328e-08,1.15632513777085e-08,1.21892578119636e-08,1.14574952196877e-08,1.05558068922341e-08,1.02463700231944e-08,9.54973682931884e-09,9.90671912935572e-09,1.00774795892344e-08,9.9547077480929e-09,9.39020334868296e-09,9.40979967195346e-09,9.52553550289542e-09,8.97143957884207e-09,8.37326994401369e-09
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",2.17681999410843e-09,2.28806551771193e-09,2.27224603955352e-09,2.15612795633694e-09,2.04520369232945e-09,1.92085103639363e-09,1.71533657525155e-09,1.56410121062716e-09,1.55926300289166e-09,1.73663629144788e-09,1.45384526765449e-09,1.47652499337506e-09,1.43450537819999e-09,1.44937098177351e-09,1.39636863202912e-09,1.34492144481617e-09,1.29119407203367e-09,1.2571105686387e-09,1.18175256090198e-09,1.06621168787716e-09,1.26943581941949e-09,1.1913443882766e-09,1.10340131234964e-09
32,"ARG","Argentina",6.71298255387014e-09,6.9616640227464e-09,8.03507865400905e-09,7.88531898351325e-09,7.3475307615312e-09,6.65739255185947e-09,6.27180894040613e-09,5.62993789512705e-09,5.31323111458793e-09,5.38347040513707e-09,4.53410165221308e-09,4.22813062125897e-09,4.40113194459362e-09,4.34626438911296e-09,4.48813849355562e-09,4.3785060225809e-09,4.55067057137136e-09,4.57987096561479e-09,4.70296623756446e-09,4.75865967864782e-09,5.22809158777066e-09,4.64439979821639e-09,4.42265845812046e-09
51,"ARM","Armenia",3.62129443941883e-09,3.36284033508674e-09,3.08097342724424e-09,2.80502289863481e-09,2.60027087611301e-09,2.3191073626446e-09,2.10059731909714e-09,1.71753445131864e-09,1.62310210782777e-09,1.77477666347325e-09,1.72908685328573e-09,1.64074404641627e-09,1.59056618487123e-09,1.63659418584958e-09,1.61711403754978e-09,1.60923993297835e-09,1.64821247437711e-09,1.48276756759012e-09,1.31355597911322e-09,1.15144274545484e-09,1.2354421374236e-09,1.186490566023e-09,1.031302030102e-09
533,"ABW","Aruba",8.58896023208853e-10,8.30092971408999e-10,8.41040523695714e-10,8.75036614921498e-10,8.82946772552199e-10,8.91763232386162e-10,6.17204880263409e-10,6.06440742351784e-10,5.59892717058387e-10,5.96500832281207e-10,5.03642423106833e-10,5.53158655602434e-10,3.50427186501529e-10,5.68715929136545e-10,5.66110735315689e-10,5.38850799866179e-10,5.22533174931892e-10,4.90494344292621e-10,4.61356355737878e-10,4.49230116096826e-10,5.43316533055119e-10,4.58859328241004e-10,NA
36,"AUS","Australia",8.77801826703121e-09,9.1910634058026e-09,8.50362136176765e-09,6.28819955044285e-09,6.99151971658674e-09,5.94215079073061e-09,6.57437456259611e-09,6.21530747975588e-09,5.30751422131286e-09,5.38544889746798e-09,4.90578913830326e-09,6.65446220560156e-09,6.43302062616693e-09,4.6433513460909e-09,4.80614096827981e-09,4.71368493032613e-09,3.92677383521238e-09,4.49441818642871e-09,4.34397702371102e-09,3.81210573472126e-09,3.35827995921986e-09,3.44906552486912e-09,3.41167622837279e-09
40,"AUT","Austria",1.16842399773248e-09,1.14319368233388e-09,1.12201064990488e-09,1.16324557295492e-09,1.03414582504222e-09,9.94221652455131e-10,9.49133462169505e-10,8.96680221535984e-10,8.70211645835225e-10,8.85463283464537e-10,8.83327974939751e-10,8.42557355906722e-10,8.1905736404813e-10,8.21073650935359e-10,8.00206181802784e-10,7.54968273352215e-10,7.50969770832615e-10,7.34383194453721e-10,6.92410713978448e-10,6.67935667559365e-10,6.98918093190545e-10,6.64331201549573e-10,6.30749854224954e-10
31,"AZE","Azerbaijan",1.02540226034939e-08,9.55651044814231e-09,8.55143204111992e-09,7.97031472944182e-09,7.40251149811208e-09,6.40536535959682e-09,5.16129402844174e-09,5.66495654422427e-09,5.88006989310954e-09,4.96799220610491e-09,4.83117325851595e-09,4.70882222383186e-09,4.74706648378077e-09,4.57338883756084e-09,4.54266449797897e-09,4.49350661778418e-09,4.56525455608025e-09,4.46271979865652e-09,4.48881012247562e-09,4.84212648116512e-09,5.18239627400957e-09,5.43302536725594e-09,5.35005472257518e-09
44,"BHS","Bahamas",8.11187885493001e-10,8.00226337415199e-10,7.94243442774248e-10,8.04415488143332e-10,8.53193094015764e-10,8.17464288119107e-10,8.12440209255382e-10,8.2309992726071e-10,8.57863067020044e-10,8.87324295700312e-10,8.8168314424789e-10,9.30592576711926e-10,8.95203779512229e-10,9.52569528485322e-10,9.27687855744317e-10,9.33589822131317e-10,9.41749865687104e-10,9.34252737201493e-10,9.20144735287057e-10,9.41640803964335e-10,1.25012039199575e-09,1.06861902708127e-09,9.41493587044219e-10
48,"BHR","Bahrain",2.15617563339358e-08,2.15131463514396e-08,1.9551041051917e-08,1.74462447878355e-08,1.61308195413928e-08,1.52975931185454e-08,1.40792422067139e-08,1.3473337006675e-08,1.40345796399447e-08,1.41205553105813e-08,1.31364272875871e-08,1.29872396212968e-08,1.40065208812822e-08,1.48585271983233e-08,1.46583248515693e-08,1.42422397331403e-08,1.38114170933719e-08,1.29766131114499e-08,1.26533689009887e-08,1.29094363850681e-08,1.35664431300817e-08,1.35158603272802e-08,1.29941196316384e-08
50,"BGD","Bangladesh",1.02768604396654e-08,9.84527241392588e-09,9.66958126880481e-09,9.35153169431394e-09,8.88594944856394e-09,8.52733484231728e-09,8.16885223297578e-09,7.7235991135413e-09,7.57160262227888e-09,7.33367252773069e-09,7.06570643180482e-09,6.71125539882529e-09,6.35288194943896e-09,6.07505722539221e-09,5.77458134535424e-09,5.47789429632247e-09,5.14137886700434e-09,4.93864809834602e-09,4.61374359225726e-09,4.28771195336895e-09,4.13411577786881e-09,3.93580049828695e-09,3.68421675810048e-09
52,"BRB","Barbados",2.18654721505339e-09,2.13228460868035e-09,2.01170064081556e-09,1.95433789651683e-09,1.93429856106455e-09,1.84002494811357e-09,1.64094106861646e-09,1.57148893720848e-09,1.55517200667347e-09,1.64176619791645e-09,1.67244793425425e-09,1.70691118948555e-09,1.67985831520831e-09,1.6835437927359e-09,1.69201562986659e-09,1.63980052295747e-09,1.59929010661762e-09,1.60971501977113e-09,1.64429337599901e-09,1.62631940087855e-09,1.87603941066511e-09,1.86666990086384e-09,1.70168893454701e-09
112,"BLR","Belarus",6.56981765255891e-09,6.17832996470966e-09,5.79110214140805e-09,5.41006111923447e-09,4.97751344935262e-09,4.35916989667681e-09,4.04166683978938e-09,3.68533529887779e-09,3.56146735147408e-09,3.64633851075297e-09,3.46788341883342e-09,3.27352593987954e-09,3.27609000848863e-09,3.30548465276131e-09,3.27707126878797e-09,3.45361794677419e-09,3.50177466167101e-09,3.44986809363284e-09,3.33894401496367e-09,3.27483261200488e-09,3.29147717735716e-09,3.18065794534622e-09,3.34310804670951e-09
