"code","iso","country","CHP.raw.2000","CHP.raw.2001","CHP.raw.2002","CHP.raw.2003","CHP.raw.2004","CHP.raw.2005","CHP.raw.2006","CHP.raw.2007","CHP.raw.2008","CHP.raw.2009","CHP.raw.2010","CHP.raw.2011","CHP.raw.2012","CHP.raw.2013","CHP.raw.2014","CHP.raw.2015","CHP.raw.2016","CHP.raw.2017","CHP.raw.2018","CHP.raw.2019","CHP.raw.2020","CHP.raw.2021","CHP.raw.2022"
4,"AFG","Afghanistan",2.13887522385274e-05,1.87925702506909e-05,2.12854548058843e-05,2.04017375921445e-05,1.9657333197869e-05,1.94992534366717e-05,1.91015630895544e-05,1.93025591603171e-05,2.06605323553207e-05,2.04854376837915e-05,2.24195584822697e-05,2.22570517160546e-05,2.12364546621879e-05,2.06079608425917e-05,2.03874470789862e-05,1.90795034316294e-05,1.86510029807825e-05,1.81520189786513e-05,1.81264184944638e-05,1.76597523837952e-05,1.65502461624598e-05,1.66585776138343e-05,1.62902995569695e-05
8,"ALB","Albania",4.11132696476917e-05,4.08473638581871e-05,4.03145187986929e-05,4.07946266896871e-05,3.99743767548669e-05,3.98474242126896e-05,3.97654573177965e-05,3.87203170890941e-05,3.66435337395337e-05,3.55249615800956e-05,3.60450542581052e-05,3.54537303003757e-05,3.65466706155459e-05,3.69591018178352e-05,3.77279599488284e-05,3.81851235618528e-05,3.78985299890372e-05,3.75853893063303e-05,3.8027111586198e-05,3.50361976475996e-05,3.30179653674315e-05,3.28986444335849e-05,3.24970799464194e-05
12,"DZA","Algeria",9.9757524227512e-05,8.74972376673365e-05,8.22142290316403e-05,8.9219192620587e-05,8.52040649659771e-05,8.61737025168486e-05,8.8828858791425e-05,8.29806484125522e-05,8.50458402864575e-05,7.67131822256011e-05,8.03205145510652e-05,7.82628043626095e-05,7.86354194379725e-05,7.5525071613294e-05,7.68830516936872e-05,7.58664824763346e-05,7.85833596785906e-05,7.70604318602733e-05,7.58461008199321e-05,7.23562433650027e-05,6.81216687986141e-05,7.26606512852594e-05,7.28232771699583e-05
20,"AND","Andorra",5.18934293538285e-05,5.14597463874963e-05,5.03888551708563e-05,4.92510858240762e-05,4.86137288289811e-05,4.76035376944855e-05,4.69951758267785e-05,4.77177361580186e-05,4.82545526263888e-05,4.75274874072469e-05,4.79592835470295e-05,4.648064959542e-05,4.56254488614761e-05,4.48386509170905e-05,4.38418899484788e-05,4.29292225350542e-05,4.25971877584781e-05,4.18489375245473e-05,4.13261701305107e-05,3.99512725462714e-05,3.88674388674389e-05,3.89705696282613e-05,3.58288234115053e-05
24,"AGO","Angola",0.000129925091170205,0.000122774802620321,0.000119889434538057,0.000118073251983438,0.000124126817119379,0.000120302551663391,0.000100186783875284,9.61277080992711e-05,9.35849499172995e-05,8.84142892775149e-05,9.37332074711786e-05,8.78020633155106e-05,8.45630978075052e-05,8.29923063454847e-05,7.81470681376452e-05,7.89256975351825e-05,7.54594123371886e-05,7.18337820572321e-05,6.45913590894895e-05,6.21260306584852e-05,5.74360442168993e-05,5.30376764002686e-05,4.9453500882169e-05
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",4.03703950436347e-05,3.98871613199501e-05,3.95103309799857e-05,3.93211655459494e-05,3.90164806627735e-05,3.85631471534638e-05,3.83212806724767e-05,3.76755754974639e-05,3.69965525939628e-05,3.57252703054392e-05,2.71894509597993e-05,2.67499913523735e-05,2.65757237037206e-05,2.64415742906539e-05,2.62226007440943e-05,2.60170556253544e-05,2.61693388101232e-05,2.6119689636629e-05,2.60842992163796e-05,2.44254589272338e-05,2.38496071829405e-05,2.37076132548086e-05,2.36767168285998e-05
32,"ARG","Argentina",0.000124356723709087,0.00012193009307535,0.000124059562526917,0.000131145266005966,0.000131889288717445,0.000128741630418305,0.000129696261740836,0.000125639132662661,0.000122163882898569,0.000115277775934317,0.000106647829963054,0.000104213396074645,0.00010615031829161,0.00010615375447229,0.000105696106117953,0.000104794666674828,0.000105527900108574,0.000108071754468421,0.000106979509513333,0.000105031937719977,0.000102916111490809,9.99809053934612e-05,9.92758057075153e-05
51,"ARM","Armenia",1.42022008361625e-05,1.46179558927119e-05,1.52977243105316e-05,1.59852041210051e-05,1.64723419592954e-05,1.68348731936969e-05,1.73798920596362e-05,1.62761662671961e-05,1.6558172648111e-05,1.56529577343153e-05,1.56807215032585e-05,1.56710058395835e-05,1.63668872822423e-05,1.74744130820281e-05,1.79589124996107e-05,1.85159774125919e-05,1.90869327787538e-05,1.8548887890732e-05,1.73802253929676e-05,1.64858423840017e-05,1.65026618116287e-05,1.68399992260766e-05,1.65439715386145e-05
533,"ABW","Aruba",3.19861729946914e-05,3.16459185586221e-05,3.13790435929005e-05,3.26857315455065e-05,3.50652127432115e-05,3.49269180699173e-05,2.4161663493923e-05,2.41768006033868e-05,2.24498959141189e-05,2.08644115631174e-05,1.69422270059098e-05,1.90545770476266e-05,1.18497336258226e-05,2.03149300155521e-05,2.00783829179296e-05,1.96629482912418e-05,1.93565612067815e-05,1.90631549995732e-05,1.87803174723014e-05,1.83198361549013e-05,1.8013791809354e-05,1.7834179674667e-05,1.75677579970877e-05
