"code","iso","country","EEW.raw.2000","EEW.raw.2005","EEW.raw.2010","EEW.raw.2011","EEW.raw.2012","EEW.raw.2013","EEW.raw.2014","EEW.raw.2015","EEW.raw.2016","EEW.raw.2017","EEW.raw.2018","EEW.raw.2019","EEW.raw.2020","EEW.raw.2021"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",85.944,169.992,297.193,326.811,356.382,384.521,410.839,435.037,457.412,477.499,495.631,401.599,525.013,577
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"BGR","Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,"CMR","Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"CAN","Canada",NA,NA,587.681,612.095,637.848,662.47,684.327,702.874,717.832,731.661,744.955,757.276,771.695,787
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",NA,NA,120.535,128.096,135.963,144.062,152.046,159.509,166.655,173.686,180.103,186.098,191.747,197
156,"CHN","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,"COL","Colombia",NA,NA,203.84,219.665,235.26,250.427,265.057,277.635,288.63,298.87,308.559,317.552,325.81,334
174,"COM","Comoros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",NA,NA,44.427,48.592,52.159,54.972,57.722,60.525,63.362,63.195,64.965,66.909,68.35,69.671
384,"CIV","Cote d'Ivoire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,"HRV","Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,"CUB","Cuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.574,14.814,NA
203,"CZE","Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,"COD","Dem. Rep. Congo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,"DNK","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,"DJI","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,"DMA","Dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,"DOM","Dominican Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,"ECU","Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
818,"EGY","Egypt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,"SLV","El Salvador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,"GNQ","Equatorial Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,"ERI","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,"EST","Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
748,"SWZ","Eswatini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,"ETH","Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,"FIN","Finland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,"FRA","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,"GMB","Gambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,"GEO","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,"DEU","Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,"GHA","Ghana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,"GRC","Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,"GTM","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
624,"GNB","Guinea-Bissau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,"GUY","Guyana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,"HTI","Haiti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,"HKG","Hong Kong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,"HUN","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.49,106.858,NA
352,"ISL","Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16,NA
356,"IND","India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,"IDN","Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,"IRN","Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,"IRQ","Iraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,"IRL","Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
