"code","iso","country","ERC.raw.2004","ERC.raw.2006","ERC.raw.2008","ERC.raw.2010","ERC.raw.2012","ERC.raw.2014","ERC.raw.2016","ERC.raw.2018","ERC.raw.2020"
4,"AFG","Afghanistan","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
8,"ALB","Albania","-8888","-8888","-8888","-8888","-8888","6144.0","-8888","-8888","-8888"
12,"DZA","Algeria","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
20,"AND","Andorra","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
24,"AGO","Angola","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
660,"AIA","Anguilla","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
28,"ATG","Antigua and Barbuda","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
32,"ARG","Argentina","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
51,"ARM","Armenia","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
533,"ABW","Aruba","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
36,"AUS","Australia","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
40,"AUT","Austria","3630429.0","4377951.0","3904365.0","1364197.0","3308205.0","-8888","-8888","-8888","-8888"
31,"AZE","Azerbaijan","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
44,"BHS","Bahamas","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
48,"BHR","Bahrain","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
50,"BGD","Bangladesh","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
52,"BRB","Barbados","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
112,"BLR","Belarus","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
56,"BEL","Belgium","629430.0","1740316.0","4452593.0","4797443.0","4713913.0","5536496.0","5490423.0","5494381.0","3952151.0"
84,"BLZ","Belize","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
204,"BEN","Benin","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
60,"BMU","Bermuda","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
64,"BTN","Bhutan","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
68,"BOL","Bolivia","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
70,"BIH","Bosnia and Herzegovina","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
72,"BWA","Botswana","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
76,"BRA","Brazil","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
92,"VGB","British Virgin Islands","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
96,"BRN","Brunei Darussalam","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
100,"BGR","Bulgaria","47831.0","8430.0","94398.0","143940.0","171682.0","193684.0","461872.0","634326.0","656679.0"
854,"BFA","Burkina Faso","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
108,"BDI","Burundi","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
132,"CPV","Cabo Verde","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
116,"KHM","Cambodia","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
120,"CMR","Cameroon","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
124,"CAN","Canada","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
136,"CYM","Cayman Islands","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
140,"CAF","Central African Republic","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
148,"TCD","Chad","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
152,"CHL","Chile","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
156,"CHN","China","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
170,"COL","Colombia","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
174,"COM","Comoros","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
184,"COK","Cook Islands","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
188,"CRI","Costa Rica","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
384,"CIV","Cote d'Ivoire","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
191,"HRV","Croatia","163985.0","1957.0","320915.0","110067.0","39412.0","48843.0","35528.0","73880.0","209885.0"
192,"CUB","Cuba","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
531,"CUW","Curacao","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
196,"CYP","Cyprus","17934.0","9903.0","8031.0","7481.0","11167.0","30894.0","74111.0","131818.0","185652.0"
203,"CZE","Czech Republic","787987.0","650144.0","555769.0","767287.0","959049.0","1016415.0","1032496.0","1200655.0","1382547.0"
180,"COD","Dem. Rep. Congo","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
208,"DNK","Denmark","0.0","3221341.0","3319510.0","3336298.0","3423602.0","3556470.0","3715843.0","3452677.0","3526799.0"
262,"DJI","Djibouti","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
212,"DMA","Dominica","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
214,"DOM","Dominican Republic","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
218,"ECU","Ecuador","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
818,"EGY","Egypt","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
222,"SLV","El Salvador","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
226,"GNQ","Equatorial Guinea","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
232,"ERI","Eritrea","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
233,"EST","Estonia","267861.0","256567.0","257234.0","336368.0","348518.0","513932.0","506587.0","397737.0","331830.0"
748,"SWZ","Eswatini","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
231,"ETH","Ethiopia","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
234,"FRO","Faeroe Islands","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
238,"FLK","Falkland Islands","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
242,"FJI","Fiji","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
246,"FIN","Finland","9323847.0","9088258.0","9630933.0","9847135.0","1.0317071E7","4485159.0","5688462.0","6251291.0","6230620.0"
250,"FRA","France","1.5108E7","1.038542E7","1.205587E7","1.2202406E7","1.1637038E7","1.3383547E7","1.6505456E7","1.7812295E7","2.2487716E7"
258,"PYF","French Polynesia","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
266,"GAB","Gabon","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
270,"GMB","Gambia","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
268,"GEO","Georgia","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
276,"DEU","Germany","1.1391797E7","1.7320807E7","2.331591E7","2.8422963E7","3.395317E7","3.8987091E7","4.3488132E7","4.6524957E7","4.5117729E7"
288,"GHA","Ghana","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
300,"GRC","Greece","45715.0","15727.0","135183.0","126148.0","118046.0","137441.0","219944.0","298902.0","396288.0"
304,"GRL","Greenland","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
308,"GRD","Grenada","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
320,"GTM","Guatemala","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
831,"GGY","Guernsey","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
324,"GIN","Guinea","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
624,"GNB","Guinea-Bissau","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
328,"GUY","Guyana","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
332,"HTI","Haiti","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
336,"VAT","Holy See","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
340,"HND","Honduras","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
344,"HKG","Hong Kong","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888","-8888"
348,"HUN","Hungary","285045.0","571549.0","766545.0","859331.0","960408.0","1222780.0","1032554.0","1087730.0","1311975.0"
352,"ISL","Iceland","17000.0","-8888","22362.0","17188.0","14244.0","3819.0","4633.0","1286.0","19397.0"
