"code","iso","country","F1D.raw.1999","F1D.raw.2000","F1D.raw.2001","F1D.raw.2002","F1D.raw.2003","F1D.raw.2004","F1D.raw.2005","F1D.raw.2006","F1D.raw.2007","F1D.raw.2008","F1D.raw.2009","F1D.raw.2010","F1D.raw.2011","F1D.raw.2012","F1D.raw.2013","F1D.raw.2014","F1D.raw.2015","F1D.raw.2016","F1D.raw.2017","F1D.raw.2018","F1D.raw.2019","F1D.raw.2020","F1D.raw.2021","F1D.raw.2022"
4,"AFG","Afghanistan",12227.2565333333,11627.6551466667,11564.17024,14963.2752533333,18099.1462933333,20516.8489066667,22239.3197333333,22855.3236266667,21845.4397333333,21999.3399466667,22189.8679466667,22287.70896,21824.5182933333,18425.9140266667,16072.1604266667,14298.90656,12943.6906666667,12136.3649066667,11511.5674133333,11156.3304,11047.0088533333,11171.2306666667,11339.9212266667,11585.0794666667
8,"ALB","Albania",-3306.25925333333,-4470.54410666667,-5392.3088,-6494.20794666667,-7070.21317333334,-7425.84101333334,-6527.26944,-6157.66954666667,-4907.3784,-3299.37093333333,-2210.58890666667,-1228.79568,-294.43904,897.1304,1700.68224,2826.92256,2824.72416,3070.87168,2468.19253333334,1340.44997333333,851.709013333333,548.415306666666,229.952639999999,-241.274400000001
12,"DZA","Algeria",51066.37712,47809.4353066667,39726.7123733333,36000.3510933333,33438.6288533333,31204.0407466667,27646.1379733333,24909.9116266667,22509.9183466667,20350.7231466667,18652.1416,16586.3784,14134.64944,11225.7754133333,8300.31568,5810.26128,3952.88197333333,2638.66624,1601.97408,1005.13290666667,694.608906666667,1229.60176,2055.74826666667,3092.06181333333
20,"AND","Andorra",137.888533333333,143.323466666667,149.478986666667,143.421173333333,130.91472,114.60992,100.772213333333,89.14512,76.8462933333334,65.7565866666667,54.1417066666667,42.9542933333333,31.21728,19.08944,8.06079999999998,-1.07477333333335,-11.02864,-17.7093333333333,-23.5839466666667,-29.23872,-33.1714133333333,-37.6170666666667,-39.8887466666667,-40.23072
24,"AGO","Angola",268029.36768,291585.492373333,325367.70672,372644.164373333,426315.291306667,479306.697386667,533488.121813333,590117.965386667,662745.30928,760238.022773333,862582.079893333,967137.910613333,1049396.82352,1111803.80581333,1159226.40821333,1196665.78309333,1232550.31514667,1261913.48901333,1270417.66965333,1247410.15568,1212049.69776,1165474.66405333,1127762.87077333,1094139.95493333
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",-140.355626666667,-137.351146666667,-133.69936,-128.75296,-123.80656,-119.2632,-114.927466666667,-109.07728,-100.308106666667,-89.0840533333334,-82.6354133333334,-78.0676266666667,-74.0250133333333,-70.4098666666666,-59.5644266666666,-53.3112,-49.0976,-46.3007466666667,-39.9986666666667,-42.09936,-41.0245866666667,-39.53456,-37.81248,-37.1285333333333
32,"ARG","Argentina",664828.47648,698400.365013333,718735.723786667,772820.47968,881873.442933334,1021659.1344,1176866.19882667,1336969.50309333,1444768.46234667,1524984.02352,1688641.06581333,1814616.17642667,1916875.36309333,1955669.94165333,1907012.13157333,1810182.65093333,1683609.77093333,1535314.1952,1418242.27482667,1307505.25168,1100213.38912,916205.696960001,739640.810133334,598482.657546667
51,"ARM","Armenia",12556.63792,12992.3119466667,13943.2909333333,15007.5485866667,15924.73328,17155.0556266667,19301.29248,20581.3597333333,21455.3336533333,22369.7337066667,23165.9453333333,23867.33264,23790.68176,23339.9609066667,22645.8771733333,21065.69168,18033.80496,16223.5080533333,14876.3651733333,13724.9653866667,12713.82352,11799.61888,11052.3949333333,10329.5610133333
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",692346.10576,784833.550986667,847508.37168,861270.050346667,930740.186506667,986271.220906666,940897.002133333,877514.711893333,855465.26064,867254.5104,844098.87312,944030.833546666,988084.595573333,1004694.36250667,960206.514186666,900883.093226667,862722.643146667,869837.215146667,836836.12896,724659.36144,652687.7392,432047.11856,302518.63632,218336.831786667
40,"AUT","Austria",-76112.41856,-76007.6159466666,-76280.55952,-76140.0206933333,-75271.5549866667,-73943.3916266666,-72994.35456,-72198.2650666667,-71078.26576,-70477.5041066667,-69457.4831466667,-67853.616,-66402.59872,-64619.18336,-63629.8789333333,-63147.2568533333,-62663.8286933333,-62438.4682666667,-62767.5198933333,-63199.16352,-63256.3829866667,-63038.64368,-62363.4906133333,-61955.16224
