"code","iso","country","F5Y.raw.1999","F5Y.raw.2000","F5Y.raw.2001","F5Y.raw.2002","F5Y.raw.2003","F5Y.raw.2004","F5Y.raw.2005","F5Y.raw.2006","F5Y.raw.2007","F5Y.raw.2008","F5Y.raw.2009","F5Y.raw.2010","F5Y.raw.2011","F5Y.raw.2012","F5Y.raw.2013","F5Y.raw.2014","F5Y.raw.2015","F5Y.raw.2016","F5Y.raw.2017","F5Y.raw.2018","F5Y.raw.2019","F5Y.raw.2020","F5Y.raw.2021","F5Y.raw.2022"
4,"AFG","Afghanistan",7730.11178666666,8580.45290666666,9532.71429333333,12565.4559466667,13060.0959466667,14293.8136,15354.6759466667,16244.8081066667,16506.3077866667,13686.98192,11820.83344,10351.31296,9117.91285333333,8136.04634666666,7286.81663999999,6593.38021333333,6108.49866666666,6093.46405333333,6193.35690666667,6417.39829333334,6795.68186666668,7223.63706666668,7514.14341333334,7584.76090666667
8,"ALB","Albania",-3806.87157333333,-3971.34853333333,-4121.69466666667,-4421.05568,-4548.88042666667,-5040.94341333334,-4051.6512,-3455.86037333334,-1975.76314666667,6.32650666666677,1052.75269333333,2225.6968,2111.13573333334,2633.74426666667,2059.18021333334,1085.35008,983.661866666666,843.806986666666,786.868426666666,449.64608,203.779466666667,-52.8104533333333,-483.635786666667,-678.401813333334
12,"DZA","Algeria",22550.8818666667,20449.6877866667,17719.1284266667,16424.4418133333,16139.0162133333,15390.41216,14839.82288,13861.1440533333,12345.8357866667,10338.9897066667,7764.39461333333,5832.02544,4207.63989333333,2740.3056,1929.41354666667,849.950293333334,140.563253333333,-86.568106666667,-186.839573333334,118.347199999999,158.68784,1251.36592,2310.50618666667,3193.70117333333
20,"AND","Andorra",93.4320000000001,82.1346666666668,71.7899733333334,66.1718400000001,60.4804266666667,53.89744,49.2563733333333,41.6474666666667,33.5744533333333,25.6602133333333,16.6589866666667,10.47904,2.23503999999999,-3.88384000000001,-8.30506666666668,-12.93392,-15.9139733333333,-19.01616,-21.2267733333333,-22.6679466666667,-24.5732266666667,-26.0632533333333,-26.6250666666667,-26.4052266666667
24,"AGO","Angola",180475.498453333,196180.758133333,224023.579626667,264906.088586667,311574.639786667,361040.569493333,408318.13856,450608.918133333,498156.865973334,556926.3512,616742.28704,684011.97136,739932.281333333,786591.929013333,808055.738719999,797468.329813333,778286.373813333,745384.496533333,719177.712106667,692532.701066667,669565.576586667,652820.85232,635144.83696,618818.394933333
660,"AIA","Anguilla",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
28,"ATG","Antigua and Barbuda",-81.59728,-78.4950933333334,-75.6371733333334,-71.6067733333334,-67.7840000000001,-64.9382933333334,-62.1658666666667,-58.624,-51.8578133333333,-43.7603733333333,-40.4261333333333,-37.29952,-34.73472,-32.93936,-27.04032,-29.16544,-28.6280533333333,-26.85712,-17.8314666666667,-15.4498666666667,-21.8862933333333,-23.52288,-23.4496,-23.7671466666667
32,"ARG","Argentina",418981.03808,431502.000853333,453923.751146667,506151.494133334,610001.357546667,743098.685706667,891350.403360001,1041392.55904,1129251.55397334,1161467.92128,1225748.66096,1224459.04288,1193932.91541333,1124851.93269333,1072245.02677333,1028297.31312,886319.108480001,762090.577813334,630618.465706667,513303.231306667,418949.918506667,330482.088906667,249963.954613333,188020.39504
51,"ARM","Armenia",9213.95850666666,8689.12714666666,8239.20016,8508.79728,9051.00821333334,10651.8830933333,13765.0129066667,15672.76,16412.1796266667,16583.5815466667,16455.17056,15401.40416,12728.58944,11267.3984533333,10241.5517333333,9347.84106666667,8632.87253333334,8028.93541333334,7497.86304,6968.58602666666,6523.11690666667,6135.33136,5747.17941333333,5373.45141333333
533,"ABW","Aruba",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
36,"AUS","Australia",551152.595573334,623637.947253333,599460.652426667,550708.860746666,581444.33696,576062.262933333,544874.881173333,469434.342506666,450169.983146666,511197.02976,464511.282186666,581397.559893333,646648.245866667,677888.51136,686185.590506667,609690.84576,563498.6512,395240.724106667,298921.516533333,231162.028693333,156992.5072,112561.585226667,86444.2390400001,26388.128
40,"AUT","Austria",-44431.9601066667,-44011.0031466667,-43933.9370133333,-44396.6757866667,-44281.2597866667,-44751.5219733333,-44721.5626666667,-43693.6274666667,-41975.4557333333,-39766.3324266667,-38617.8882666667,-37921.22752,-37342.1811733333,-36817.59408,-36832.87296,-37421.27472,-37927.9082133333,-38278.4797333333,-38340.3769066667,-38346.3125866667,-38244.39232,-37812.6143466667,-37041.8430933333,-36334.2880533333
31,"AZE","Azerbaijan",17997.7634133333,17995.3451733333,17481.38368,16360.3340266667,14784.89952,13895.24368,12916.7114133333,12340.7428266667,11973.2069866667,11763.5040533333,11837.0771733333,11865.5830933333,11950.06272,12442.8462933333,12615.4573333333,12895.37472,14100.50096,16888.62176,18317.91152,19670.6358933333,21563.29952,23343.1852266667,24233.9769066667,23599.8728533333
44,"BHS","Bahamas",51.07616,35.2354666666666,-10.8088000000001,-63.3872000000001,-127.372853333333,-171.890453333333,-252.864853333333,-287.892693333333,-281.334133333333,-148.453066666667,-57.7202133333334,-6.63184000000001,29.4341333333334,61.9216000000001,64.9260800000001,-58.4407999999999,-131.916213333333,-155.597866666667,-166.773066666667,-175.383466666667,-177.642933333333,-170.0096,-166.956266666667,-162.742666666667
48,"BHR","Bahrain",15.0834666666667,12.4698133333334,11.3461866666667,10.4912533333333,7.20586666666668,5.44714666666667,3.95712,2.44266666666667,1.24576,0.0366400000000003,-0.84272,-1.44117333333333,-1.31904,-1.13584,-1.40453333333333,-1.58773333333333,-1.79536,-2.32053333333333,-3.60293333333334,-4.81205333333334,-5.41050666666667,-5.92346666666668,-6.35093333333334,-6.59520000000001
50,"BGD","Bangladesh",32007.2261866667,35531.0293333333,36823.27328,33797.2367466667,29194.53216,24666.45104,20637.48,16516.72576,15798.2031466667,15200.39712,13563.4074133333,12112.4634133333,12540.84608,15650.51952,16969.1809066667,19054.4488,25128.2371733333,28743.7013866667,34580.94192,37623.16112,41744.4405333333,47360.2289066667,49497.59888,53553.5491733333
52,"BRB","Barbados",-0.50074666666667,-5.61813333333333,-24.32896,-36.8476266666667,-62.6055466666667,-66.4893866666667,-68.3213866666667,-73.7318933333334,-68.5656533333334,-62.9963733333334,-63.5704000000001,-80.4858666666668,-108.295626666667,-151.72624,-201.7032,-268.803253333333,-335.634613333333,-381.226986666667,-426.501813333333,-472.485013333333,-502.1512,-522.767306666667,-535.139413333333,-561.47136
112,"BLR","Belarus",52829.3229333333,47766.7741333333,41392.2324266666,35419.9490666666,29510.62544,22776.6941866666,13935.2789866667,8937.97381333332,8884.27178666665,9509.92421333332,10757.3818666667,11924.1826666667,11993.3834133333,14413.8218133333,19086.61872,22454.1156266667,25232.75888,27598.97008,30799.84048,32704.6930133333,31668.0863466667,31014.2944,30282.9722133333,29195.7657066667
56,"BEL","Belgium",7174.16085333333,7098.34048,6881.5416,6204.64202666667,6568.35509333334,8394.13850666667,7628.87546666667,7614.85456,7780.08874666667,7704.03632,7076.11221333334,4946.85189333333,4076.68853333333,4162.93909333333,4574.07653333333,6339.02533333334,8670.57509333333,10169.2488,12279.8715733333,13685.6018133333,15130.5368533333,15429.1894933333,15112.27792,15839.3010133333
84,"BLZ","Belize",29353.8917333333,28599.7184,28665.56048,30464.8531733333,30718.8905066667,29937.0539733333,28753.1178666667,28126.76928,26909.62512,24428.6208,24206.25264,24720.2629866667,25697.02432,26246.9296533333,27211.3433066667,29378.53824,32236.9712,33941.0365333333,35797.02352,38849.5996266667,40661.6674666667,40967.3061333333,40207.9421333333,39650.3912533333
