"code","iso","country","FGP.raw.1750","FGP.raw.1751","FGP.raw.1752","FGP.raw.1753","FGP.raw.1754","FGP.raw.1755","FGP.raw.1756","FGP.raw.1757","FGP.raw.1758","FGP.raw.1759","FGP.raw.1760","FGP.raw.1761","FGP.raw.1762","FGP.raw.1763","FGP.raw.1764","FGP.raw.1765","FGP.raw.1766","FGP.raw.1767","FGP.raw.1768","FGP.raw.1769","FGP.raw.1770","FGP.raw.1771","FGP.raw.1772","FGP.raw.1773","FGP.raw.1774","FGP.raw.1775","FGP.raw.1776","FGP.raw.1777","FGP.raw.1778","FGP.raw.1779","FGP.raw.1780","FGP.raw.1781","FGP.raw.1782","FGP.raw.1783","FGP.raw.1784","FGP.raw.1785","FGP.raw.1786","FGP.raw.1787","FGP.raw.1788","FGP.raw.1789","FGP.raw.1790","FGP.raw.1791","FGP.raw.1792","FGP.raw.1793","FGP.raw.1794","FGP.raw.1795","FGP.raw.1796","FGP.raw.1797","FGP.raw.1798","FGP.raw.1799","FGP.raw.1800","FGP.raw.1801","FGP.raw.1802","FGP.raw.1803","FGP.raw.1804","FGP.raw.1805","FGP.raw.1806","FGP.raw.1807","FGP.raw.1808","FGP.raw.1809","FGP.raw.1810","FGP.raw.1811","FGP.raw.1812","FGP.raw.1813","FGP.raw.1814","FGP.raw.1815","FGP.raw.1816","FGP.raw.1817","FGP.raw.1818","FGP.raw.1819","FGP.raw.1820","FGP.raw.1821","FGP.raw.1822","FGP.raw.1823","FGP.raw.1824","FGP.raw.1825","FGP.raw.1826","FGP.raw.1827","FGP.raw.1828","FGP.raw.1829","FGP.raw.1830","FGP.raw.1831","FGP.raw.1832","FGP.raw.1833","FGP.raw.1834","FGP.raw.1835","FGP.raw.1836","FGP.raw.1837","FGP.raw.1838","FGP.raw.1839","FGP.raw.1840","FGP.raw.1841","FGP.raw.1842","FGP.raw.1843","FGP.raw.1844","FGP.raw.1845","FGP.raw.1846","FGP.raw.1847","FGP.raw.1848","FGP.raw.1849","FGP.raw.1850","FGP.raw.1851","FGP.raw.1852","FGP.raw.1853","FGP.raw.1854","FGP.raw.1855","FGP.raw.1856","FGP.raw.1857","FGP.raw.1858","FGP.raw.1859","FGP.raw.1860","FGP.raw.1861","FGP.raw.1862","FGP.raw.1863","FGP.raw.1864","FGP.raw.1865","FGP.raw.1866","FGP.raw.1867","FGP.raw.1868","FGP.raw.1869","FGP.raw.1870","FGP.raw.1871","FGP.raw.1872","FGP.raw.1873","FGP.raw.1874","FGP.raw.1875","FGP.raw.1876","FGP.raw.1877","FGP.raw.1878","FGP.raw.1879","FGP.raw.1880","FGP.raw.1881","FGP.raw.1882","FGP.raw.1883","FGP.raw.1884","FGP.raw.1885","FGP.raw.1886","FGP.raw.1887","FGP.raw.1888","FGP.raw.1889","FGP.raw.1890","FGP.raw.1891","FGP.raw.1892","FGP.raw.1893","FGP.raw.1894","FGP.raw.1895","FGP.raw.1896","FGP.raw.1897","FGP.raw.1898","FGP.raw.1899","FGP.raw.1900","FGP.raw.1901","FGP.raw.1902","FGP.raw.1903","FGP.raw.1904","FGP.raw.1905","FGP.raw.1906","FGP.raw.1907","FGP.raw.1908","FGP.raw.1909","FGP.raw.1910","FGP.raw.1911","FGP.raw.1912","FGP.raw.1913","FGP.raw.1914","FGP.raw.1915","FGP.raw.1916","FGP.raw.1917","FGP.raw.1918","FGP.raw.1919","FGP.raw.1920","FGP.raw.1921","FGP.raw.1922","FGP.raw.1923","FGP.raw.1924","FGP.raw.1925","FGP.raw.1926","FGP.raw.1927","FGP.raw.1928","FGP.raw.1929","FGP.raw.1930","FGP.raw.1931","FGP.raw.1932","FGP.raw.1933","FGP.raw.1934","FGP.raw.1935","FGP.raw.1936","FGP.raw.1937","FGP.raw.1938","FGP.raw.1939","FGP.raw.1940","FGP.raw.1941","FGP.raw.1942","FGP.raw.1943","FGP.raw.1944","FGP.raw.1945","FGP.raw.1946","FGP.raw.1947","FGP.raw.1948","FGP.raw.1949","FGP.raw.1950","FGP.raw.1951","FGP.raw.1952","FGP.raw.1953","FGP.raw.1954","FGP.raw.1955","FGP.raw.1956","FGP.raw.1957","FGP.raw.1958","FGP.raw.1959","FGP.raw.1960","FGP.raw.1961","FGP.raw.1962","FGP.raw.1963","FGP.raw.1964","FGP.raw.1965","FGP.raw.1966","FGP.raw.1967","FGP.raw.1968","FGP.raw.1969","FGP.raw.1970","FGP.raw.1971","FGP.raw.1972","FGP.raw.1973","FGP.raw.1974","FGP.raw.1975","FGP.raw.1976","FGP.raw.1977","FGP.raw.1978","FGP.raw.1979","FGP.raw.1980","FGP.raw.1981","FGP.raw.1982","FGP.raw.1983","FGP.raw.1984","FGP.raw.1985","FGP.raw.1986","FGP.raw.1987","FGP.raw.1988","FGP.raw.1989","FGP.raw.1990","FGP.raw.1991","FGP.raw.1992","FGP.raw.1993","FGP.raw.1994","FGP.raw.1995","FGP.raw.1996","FGP.raw.1997","FGP.raw.1998","FGP.raw.1999","FGP.raw.2000","FGP.raw.2001","FGP.raw.2002","FGP.raw.2003","FGP.raw.2004","FGP.raw.2005","FGP.raw.2006","FGP.raw.2007","FGP.raw.2008","FGP.raw.2009","FGP.raw.2010","FGP.raw.2011","FGP.raw.2012","FGP.raw.2013","FGP.raw.2014","FGP.raw.2015","FGP.raw.2016","FGP.raw.2017","FGP.raw.2018","FGP.raw.2019","FGP.raw.2020","FGP.raw.2021"
4,"AFG","Afghanistan",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
8,"ALB","Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45e-05,0.000165,0.000343,0.000559,0.000794,0.00103,0.00125,0.00142,0.00154,0.00159,0.00155,0.00145,0.00131,0.00114,0.000947,0.000757,0.000582,0.000438,0.000341,0.000305,0.000311,0.000328,0.000356,0.000392,0.000434,0.000482,0.000535,0.00059,0.000646,0.000702,0.000761,0.000827,9e-04,0.000981,0.00107,0.00116,0.00127,0.00138,0.00149,0.00162,0.00176,0.00192,0.00211,0.00232,0.00255,0.0028,0.00307,0.00335,0.00366,0.00398,0.00435,0.00481,0.00533,0.0059,0.00651,0.00715,0.00778,0.00841,0.009,0.00956,0.0101,0.0106,0.0111,0.0116,0.0121,0.0126,0.0131,0.0137,0.0143,0.0143,0.0357,0.0792,0.424,1.2,2.96,5.38,5.29,8.39,12.7,17.5,24.4,31.2,41.5,55.2,71.1,78.8,89.7,100,110,120,123,132,141,150,159,168,177,186,194,203,212
12,"DZA","Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91e-10,1.45e-09,3.01e-09,4.91e-09,6.97e-09,9.04e-09,1.09e-08,1.25e-08,1.36e-08,1.39e-08,1.36e-08,1.28e-08,1.15e-08,9.98e-09,8.31e-09,6.65e-09,5.11e-09,3.85e-09,2.99e-09,2.68e-09,2.73e-09,2.88e-09,3.12e-09,3.44e-09,3.81e-09,4.24e-09,4.7e-09,5.18e-09,5.67e-09,6.17e-09,6.68e-09,7.26e-09,7.91e-09,8.62e-09,9.39e-09,1.02e-08,1.11e-08,1.21e-08,1.31e-08,1.42e-08,1.54e-08,1.69e-08,1.85e-08,2.03e-08,2.24e-08,2.46e-08,2.69e-08,2.95e-08,3.21e-08,3.2e-08,0.888,0.765,3.22,3.86,7.69,14.3,22.2,31.9,46.5,59.7,120,131,137,151,159,210,269,330,399,482,339,295,242,198,158,216,260,345,434,528,431,483,325,353,310,365,422,479,536,592,521,535,550,564,579,593,607,622,636,651,665
20,"AND","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0692,0.255,0.526,0.849,1.19,1.61,2.16,2.8,3.5,4.22,5.01,5.91,6.85,7.79,8.67,11.9,12.5,12.9,13.8,13.5,14.5,15.5,17.1,18.1,19,20
24,"AGO","Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-07,1.49e-06,3.09e-06,5.03e-06,7.14e-06,9.26e-06,1.12e-05,1.28e-05,1.39e-05,1.43e-05,1.4e-05,1.31e-05,1.18e-05,1.02e-05,8.52e-06,6.81e-06,5.24e-06,3.94e-06,3.07e-06,2.74e-06,2.8e-06,2.96e-06,3.2e-06,3.52e-06,3.91e-06,4.34e-06,4.81e-06,5.31e-06,5.81e-06,6.32e-06,6.85e-06,7.44e-06,8.1e-06,8.83e-06,9.62e-06,1.05e-05,1.14e-05,1.24e-05,1.34e-05,1.45e-05,1.58e-05,1.73e-05,1.9e-05,2.08e-05,2.29e-05,2.52e-05,2.76e-05,3.02e-05,3.29e-05,3.58e-05,3.91e-05,4.32e-05,4.79e-05,5.31e-05,5.86e-05,6.43e-05,7e-05,7.56e-05,8.1e-05,8.6e-05,9.07e-05,9.52e-05,9.96e-05,0.000104,0.000108,0.000113,0.000118,0.000123,0.000129,0.000128,0.000482,0.00114,0.00246,0.00569,0.0137,0.0636,0.135,0.246,0.382,0.745,2.01,4.53,7.07,11.9,22.2,22.4,26.4,30.5,33.2,36,36.6,39.5,42.4,45.3,48.2,51.2,54.1,57,59.9,62.8,65.8
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27e-05,4.72e-05,9.8e-05,0.00016,0.000227,0.000294,0.000356,0.000406,0.000441,0.000454,0.000443,0.000416,0.000374,0.000325,0.00027,0.000216,0.000166,0.000125,9.73e-05,8.71e-05,8.88e-05,9.38e-05,0.000102,0.000112,0.000124,0.000138,0.000153,0.000168,0.000185,0.000201,0.000217,0.000236,0.000257,0.00028,0.000305,0.000332,0.000362,0.000393,0.000426,0.000461,0.000501,0.000548,0.000602,0.000662,0.000728,0.000799,0.000876,0.000958,0.00104,0.00114,0.00124,0.00137,0.00152,0.00169,0.00186,0.00204,0.00222,0.0024,0.00257,0.00273,0.00288,0.00302,0.00316,0.0033,0.00344,0.00359,0.00374,0.00391,0.00408,0.00407,0.01,0.022,0.0978,0.245,0.482,0.883,1.22,1.73,2.41,3.11,3.66,4.28,5.07,6.13,7.2,7.96,8.8,9.65,10.5,11.3,11.8,12.6,13.3,14.1,14.9,15.7,16.4,17.2,18,18.8,19.5
32,"ARG","Argentina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.69e-06,3.7e-06,3.7e-06,4.31e-06,6.03e-06,8.62e-06,1.19e-05,1.56e-05,1.95e-05,2.35e-05,2.73e-05,3.07e-05,3.35e-05,3.57e-05,3.78e-05,3.97e-05,4.15e-05,4.33e-05,4.51e-05,4.69e-05,4.89e-05,5.1e-05,5.34e-05,5.6e-05,5.87e-05,6.16e-05,6.47e-05,6.8e-05,7.14e-05,7.5e-05,7.87e-05,8.26e-05,8.67e-05,0.675,2.51,5.2,8.48,12,15.6,18.9,21.6,23.4,24.1,23.5,22.1,19.9,17.2,14.4,11.5,8.83,6.65,5.17,4.63,4.72,4.99,5.4,5.95,6.6,7.34,8.14,8.98,9.84,10.7,11.6,12.6,13.7,14.9,16.3,17.7,19.3,20.9,22.7,24.6,26.7,29.2,32.1,35.2,38.7,42.5,46.6,51,55.6,68.3,75.8,80,96.5,118,374,660,763,776,1640,1840,1880,1960,1940,1990,2020,2150,2230,2300,2430,2330,2250,437,382,336,257,251,242,241,247,282,243,316,449,601,441,326,806,627,678,733,797,979,1430,2150,2550,2820,3110,3280,3150,3360,3580
51,"ARM","Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.152,0.212,0.303,0.417,0.548,0.687,0.826,0.959,1.08,1.18,1.26,1.33,1.39,1.46,1.52,1.58,1.65,1.72,1.79,1.88,1.97,2.06,2.17,2.27,2.39,2.51,2.63,2.77,2.9,3.05,3.63,4.98,6.96,9.4,12.2,15.1,18.1,21,23.5,25.7,27.6,29.4,31.1,32.8,34.5,36.1,37.8,39.4,41.1,42.8,44.6,46.4,48.3,50.2,52.2,54.4,56.7,59.1,61.8,64.6,67.6,71,74.6,78.5,82.6,86.9,91.3,95.9,101,105,111,117,123,130,137,144,150,156,161,176,188,200,217,228,244,255,262,267,279,280,287,296,248,74.3,0.000937,0.0023,0.00567,0.0139,0.0343,0.0711,0.291,0.342,1.21,3.19,7.58,13.1,17.5,25.7,34.9,47.7,70.5,111,173,253,382,409,475,542,595,648,656,706,757,807,857,908,958,1010,1060,1110,1160
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
