"code","iso","country","GHI.raw.1990","GHI.raw.1991","GHI.raw.1992","GHI.raw.1993","GHI.raw.1994","GHI.raw.1995","GHI.raw.1996","GHI.raw.1997","GHI.raw.1998","GHI.raw.1999","GHI.raw.2000","GHI.raw.2001","GHI.raw.2002","GHI.raw.2003","GHI.raw.2004","GHI.raw.2005","GHI.raw.2006","GHI.raw.2007","GHI.raw.2008","GHI.raw.2009","GHI.raw.2010","GHI.raw.2011","GHI.raw.2012","GHI.raw.2013","GHI.raw.2014","GHI.raw.2015","GHI.raw.2016","GHI.raw.2017","GHI.raw.2018","GHI.raw.2019","GHI.raw.2020","GHI.raw.2021","GHI.raw.2022"
4,"AFG","Afghanistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.07049518369687e-07,7.18054257912935e-07,7.12324216309153e-07,7.0737222268058e-07,6.85232140157744e-07,6.729567770437e-07,6.92352857071446e-07,6.59319716395932e-07,6.53895857178857e-07,6.47022874771145e-07,6.3583743883005e-07,6.17161950287228e-07,6.19493658830722e-07,6.08275359385073e-07,6.08877118676601e-07,6.02704337518242e-07,6.02898782046236e-07,5.99526920551816e-07,6.3169856382749e-07,8.09848035107659e-07,-9999
8,"ALB","Albania",4.24696780266575e-07,7.36311128216604e-07,5.53942441253542e-07,5.11790215676482e-07,5.14181044298537e-07,4.55530522705226e-07,4.17246138235741e-07,4.75266721649004e-07,4.89735141846799e-07,4.63239537855163e-07,4.03557333027024e-07,4.01565085147018e-07,3.94706746657326e-07,3.82208670709991e-07,3.75691686922648e-07,3.50168086403237e-07,3.30080338628031e-07,3.19707800920661e-07,2.92946440824469e-07,3.06005039836111e-07,2.84072119598968e-07,2.86630762856613e-07,2.7795285546988e-07,2.81643447523293e-07,2.91308389426861e-07,2.86071022362449e-07,2.78034593542586e-07,2.85373455276236e-07,2.80913135929931e-07,2.7800324469418e-07,2.85574216066354e-07,2.57690744631266e-07,2.561092959735e-07
12,"DZA","Algeria",6.78312028270697e-07,6.95186607270592e-07,6.71285877485685e-07,7.37774521574151e-07,7.58941400432174e-07,7.91628649997803e-07,7.83822992721342e-07,7.18814910789126e-07,7.60942938197504e-07,6.91738884688006e-07,6.78838939598421e-07,6.07079420815567e-07,5.83074537058887e-07,5.71339681997782e-07,5.33532042300612e-07,5.60901416026593e-07,5.44660363663457e-07,5.42802990425692e-07,5.38290229075939e-07,5.43232742526717e-07,5.32366366459335e-07,5.21467548011846e-07,5.29169636981811e-07,5.46090356236053e-07,5.60508420836779e-07,5.6383187692129e-07,5.52117880889316e-07,5.53524407469395e-07,5.68539054281955e-07,5.71268675586547e-07,5.77924026713499e-07,5.65697190527515e-07,5.63696141436842e-07
20,"AND","Andorra",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.25510516783356e-07,1.19156696846408e-07,1.24943343480838e-07,1.27030238142966e-07,1.20361507390035e-07,1.18925413316195e-07,1.17794112681212e-07,1.17805468701015e-07,1.22537299620697e-07,1.1876171547631e-07,1.1573084077862e-07,1.18441995161302e-07,1.03538984717886e-07
24,"AGO","Angola",8.34361348263376e-07,8.248884620224e-07,8.61726966642824e-07,1.21252601678047e-06,1.3601197453641e-06,1.42767689440184e-06,1.34054237494174e-06,1.22572204880113e-06,1.26334073345229e-06,1.22058367877992e-06,1.13655974296928e-06,1.07201946833764e-06,9.63671458317346e-07,9.87981716967841e-07,9.26457708422366e-07,7.96779546016484e-07,6.55020470799727e-07,5.8138304355873e-07,5.3002965075657e-07,5.32490050215108e-07,5.58391570127395e-07,5.38962188865831e-07,5.02640763007614e-07,4.84556504592268e-07,5.08074828713964e-07,4.78918023878231e-07,4.92878075028104e-07,4.94625573403524e-07,4.57158331138215e-07,4.65116566650674e-07,4.43722761441985e-07,4.41785550631179e-07,4.5711107886293e-07
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",3.94546121068155e-07,3.76989489073924e-07,3.6740376085168e-07,3.58411763138876e-07,3.36908440153132e-07,3.61319838020546e-07,3.55789566601545e-07,3.57565634495218e-07,3.57360931169813e-07,3.57312077433147e-07,3.43708238626188e-07,3.64243848377426e-07,3.91856503007631e-07,3.90447522806397e-07,3.82576865130624e-07,3.6474659901789e-07,3.31597025371916e-07,3.19734632457809e-07,3.28500466906998e-07,3.95543642317828e-07,4.29904042342796e-07,4.32868759135371e-07,4.33463197228849e-07,4.41598562574051e-07,4.28105139985789e-07,4.28682790232825e-07,4.15262723371912e-07,3.99804367400433e-07,3.8300763669689e-07,3.74097903950568e-07,4.17746915943656e-07,3.89202184950589e-07,3.65213060777944e-07
32,"ARG","Argentina",5.06949467004765e-07,4.78672326171232e-07,4.52998126937213e-07,4.27130571168637e-07,4.07236951580253e-07,4.22472070525696e-07,4.2158183075484e-07,3.91007843987569e-07,3.83664990041992e-07,4.0554592760527e-07,4.14131320258232e-07,4.3624193643806e-07,4.70893220131396e-07,4.5862711651241e-07,4.32830070931047e-07,4.06723008188154e-07,3.90157964525976e-07,3.7315250843704e-07,3.61313754817282e-07,3.6028043486797e-07,3.38757848109013e-07,3.2899084364016e-07,3.34477086437534e-07,3.33978403409393e-07,3.42371325761504e-07,3.37576033468828e-07,3.47249799986814e-07,3.3920390957409e-07,3.45603797283374e-07,3.43698228052778e-07,3.7047578007661e-07,3.6405503020923e-07,3.47274079635083e-07
51,"ARM","Armenia",1.42726004859621e-06,1.51757007286999e-06,3.20484477253321e-06,1.60572840340269e-06,1.51588243465737e-06,1.49237232825711e-06,1.05728049001197e-06,1.05279677473489e-06,8.51570222313519e-07,6.50703374941334e-07,4.98310233166472e-07,4.58819914513395e-07,3.89553091132884e-07,3.67637794292351e-07,3.50328058824657e-07,3.41805232581686e-07,3.13165514616774e-07,3.01000898082924e-07,3.03603549211443e-07,3.10622253130024e-07,3.0468606217747e-07,3.25010305421046e-07,3.41998072457713e-07,3.29622012616867e-07,3.25172032597973e-07,3.08385018893711e-07,3.27400986173979e-07,3.10095189647591e-07,3.27068244882064e-07,2.93726853813135e-07,3.20734921085378e-07,3.14777461834709e-07,2.911984412196e-07
533,"ABW","Aruba",2.54671862285972e-07,2.57376114760426e-07,2.46842072966365e-07,2.74830601098904e-07,2.59196214805647e-07,2.70478156727447e-07,2.72880398190395e-07,2.68138162971428e-07,2.79345566238518e-07,2.78890299613981e-07,7.47344626873559e-07,7.24368715182843e-07,7.39934837139634e-07,7.71281617469907e-07,7.34607919169072e-07,7.67576662967861e-07,7.48614692728593e-07,7.54925969893917e-07,6.96649465361498e-07,7.79429886599211e-07,7.6290705490942e-07,7.36891019587539e-07,4.0991211452739e-07,2.5737353660486e-07,2.6041349663027e-07,2.58070709592904e-07,2.48840182273955e-07,2.43161082618141e-07,2.36151185720969e-07,2.39524959526783e-07,2.70110436958547e-07,2.28405852357232e-07,-9999
