"code","iso","country","GHN.raw.1999","GHN.raw.2000","GHN.raw.2001","GHN.raw.2002","GHN.raw.2003","GHN.raw.2004","GHN.raw.2005","GHN.raw.2006","GHN.raw.2007","GHN.raw.2008","GHN.raw.2009","GHN.raw.2010","GHN.raw.2011","GHN.raw.2012","GHN.raw.2013","GHN.raw.2014","GHN.raw.2015","GHN.raw.2016","GHN.raw.2017","GHN.raw.2018","GHN.raw.2019","GHN.raw.2020","GHN.raw.2021","GHN.raw.2022"
4,"AFG","Afghanistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,97254.2248484848,107628.092727273,112821.496969697,113366.568484848,108726.453939394,100967.154545455,92276.0775757577,81464.6072727274,76432.1175757574,76761.4521212122,73558.763030303,-9999
8,"ALB","Albania",9302.1549260606,9389.91281212122,14372.4748121212,14766.186630303,14758.3258181818,15527.0264848485,14946.3595151515,13788.2095151515,12719.5484848485,11875.511030303,13419.864969697,11947.2496363636,12136.7413939394,11602.3898787879,11776.6035151515,13225.0066666667,13630.9777575758,13629.8344242424,15169.2572121212,15850.6250909091,17097.6795757576,16867.5571515151,16183.4564242424,16058.2458181818
12,"DZA","Algeria",297568.319393939,288898.191515152,233435.348484848,188763.684848485,178533.492121212,148161.528484848,195565.865454546,222326.924242424,238783.083030303,284555.189090909,314674.690909091,344857.561818182,340046.904242424,349939.816969697,382503.046060606,412881.332121212,466640.586666667,489382.792121212,506359.750909091,527965.734545455,532638.171515152,484394.950909091,437825.916969697,404820.926666667
20,"AND","Andorra",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,520.762003162534,440.916350247934,497.762600565656,464.64510892562
24,"AGO","Angola",229413.383466667,215823.682981818,191469.373090909,161632.795515152,138732.015151515,124436.342666667,120314.845454545,102584.272121212,92244.5654545454,95580.603030303,99399.9387878787,117100.917575758,118829.975151515,122699.633939394,133196.771515152,172126.964848485,179830.022424243,175026.673333333,165880.744848485,128496.235757576,102701.305454545,81558.5135684114,78861.5971092746,88361.1178181818
660,"AIA","Anguilla",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
28,"ATG","Antigua and Barbuda",766.781155757577,854.421854545455,896.107772727274,990.805047272726,1083.76720121212,1139.06518787879,1147.07132545455,1151.90683757576,1204.52231939394,1237.95848,1316.83007272727,1303.98005212121,1206.51304242424,1190.17737454545,1167.91900363636,1132.43340121212,1132.70656242424,1118.15169090909,1079.00267757576,1079.47358,1129.85106606061,975.87098,841.239941818181,774.67716060606
32,"ARG","Argentina",421830.180606061,422323.338181818,420288.770909091,382927.296969697,397672.031515152,407671.507878788,414366.841212121,450219.51030303,493692.745454545,518370.6,478859.048484849,483801.351515151,491729.690909091,458589.787878788,452607.703030303,436540.139393939,429945.145454546,432235.551515152,450139.593939394,457296.503030303,400928.496969697,339836.581818182,375557.715151515,382363.963636364
51,"ARM","Armenia",0,0,0,0,0,0,0,0,8650.76393939394,16717.0374545455,17626.8329090909,16847.9105454545,17897.1767272727,19518.5135151515,19270.1289090909,19001.0226666667,18126.5523030303,18744.5622424242,19542.8724848485,23612.9524242424,22306.0001212121,20579.9358181818,20289.9469090909,21890.3216969697
533,"ABW","Aruba",1970.1588969697,5948.26458121213,7789.78882848484,9038.07674181819,10144.9443630303,10613.4380357576,10707.0002121212,9909.53053333332,8812.6351109091,6537.49290424242,3732.40891030303,3029.85739515151,2546.8899271405,889.776723702479,0,0,0,0,0,0,0,0,425.807134086319,-9999
36,"AUS","Australia",652010.24969697,700642.38,738171.203636364,760868.685454546,749815.973333334,763138.741818182,760143.228484848,745101.927272727,739220.871515151,730516.136363636,716922.681212121,690898.038181818,670953.527878788,654752.587272727,593200.907272727,543152.767272727,531785.713939394,537832.142424243,565358.303030304,584219.508484848,592545.405454546,548260.745454546,510497.467878788,501211.638787879
40,"AUT","Austria",91065.9581818181,90723.1915151516,106449.401818182,109779.251515152,121986.613333334,123561.166060606,129238.414545455,129250.868484848,121578.74969697,112397.701212121,82422.5957575758,71070.7278787879,55629.2733333334,39487.7769696971,39260.990909091,33074.8448484848,43313.9218181819,53549.2036363636,67104.526060606,70789.3587878787,70926.4133333333,62913.94,70241.4951625345,61935.9793939394
31,"AZE","Azerbaijan",12144.1145983472,0,0,0,11436.5510303032,34439.0869090909,48979.7107272727,60694.6172121212,67962.2005454545,88232.6287878788,85804.0925454545,84979.8145454545,89497.8304848484,93524.9609696971,96361.2231515152,98049.3342424242,100292.605515152,100419.46369697,98410.4758181819,109646.218242424,115422.287515152,90814.9553333334,85755.6657575758,90662.8986060606
44,"BHS","Bahamas",2817.23181212121,3244.25919393939,3851.44084848485,4478.02554545454,3908.62240606061,3739.54330909091,3846.09586060606,3757.99056363636,3406.33358181818,3627.88676969697,4025.03323030303,4417.08510909091,4770.46979393939,5297.58566060606,5418.12118787878,4348.84829090909,3399.42903030303,2817.11975757576,1607.64192727273,2748.71424848485,3381.13760892562,3312.6242,3446.78771515151,3841.01886060606
48,"BHR","Bahrain",35207.0378545455,39654.5414666667,27426.3830666667,20633.7347575758,21201.0810787879,24143.1366181818,29980.5162969697,33024.6093030303,55021.2066727273,74143.5930060606,81845.7401939394,90217.620490909,86216.6663454545,76626.9601878787,76100.1952727274,67997.4103030303,63752.4083272727,52025.4847272727,54200.0127999999,40899.4185272727,31981.690060606,22299.8661454545,15461.0771151515,9962.06859393941
50,"BGD","Bangladesh",172532.711151515,188498.076727273,209990.267272727,222973.823272727,229714.918181818,232871.254545455,241095.983636364,252534.018181818,257719.814545455,263401.469090909,270844.233333333,283097.787272727,295669.592727273,308721.643636364,309558.063030303,315602.306666667,328949.298181818,335253.158181818,343974.838787879,360837.39030303,389085.40969697,383306.178181818,390648.862424242,401304.718181818
52,"BRB","Barbados",8955.97969696971,8661.38469696971,8785.68605454545,8355.80147272729,9273.9448,8899.65887272726,8697.62068484848,8180.46576969697,7599.30775151515,9075.46805454545,9745.22331515152,9199.49272727271,9222.98186666668,8452.47898787879,7627.49352727273,5678.25912727273,4848.24430141414,4413.81760580349,2993.9319415978,2446.39852121213,3076.39356363637,2554.61595757576,3431.37318424242,4363.54218552801
112,"BLR","Belarus",7384.9961432506,0,0,891.113333333225,34770.7448484848,57521.7915151515,69665.1533333334,90007.7498181819,103200.842424242,124408.886666667,129749.085454545,134670.913333333,129937.019393939,123438.232121212,119782.68969697,113656.346666667,96584.2072727273,87994.9224499541,85715.9011570248,91199.3512396694,91206.5480330579,88164.4451056015,90229.0435775941,89706.7104573003
56,"BEL","Belgium",165285.543030303,156559.528484849,145706.81913315,136465.947878788,124783.155757576,125887.120606061,123221.413939394,124267.473333333,107601.78,108330.404848485,72333.7624242426,76569.3484848484,47333.4181818184,29903.9533333332,26734.5151515152,19219.1454545455,33898.609090909,44459.330909091,56249.1163636364,77889.8721212122,80249.5969696971,77556.6357575758,81918.3145454545,70921.2963636364
84,"BLZ","Belize",657.848169696971,600.971406060606,1107.44507878788,1544.99847272727,2014.33163636364,2162.43658181818,2290.21973333333,2400.3964969697,2412.49698181818,2083.82180606061,1964.75087272727,1759.56487272727,2003.12086060606,1650.29506666667,1956.42973333333,1840.08419393939,2342.49346666666,2604.77389090909,2833.0856969697,2754.41071515151,3137.24663030303,2889.57284848485,3220.6631030303,3116.06437575758
204,"BEN","Benin",16485.8402545455,17418.0159393939,16025.8521818182,17360.4972121212,17321.5991515152,17470.3534545455,18159.0403030303,19949.4432727273,22522.3617575758,22750.8166060606,24079.1519393939,26632.1013333334,26229.9485454546,25915.7050909091,26413.6806666667,25977.6336363636,27148.3122424243,29975.804969697,33257.1362424242,35781.7408484848,38269.6532121212,39566.1585454545,41245.8037575757,40975.2083636364
