"code","iso","country","NDG.raw.2000","NDG.raw.2001","NDG.raw.2002","NDG.raw.2003","NDG.raw.2004","NDG.raw.2005","NDG.raw.2006","NDG.raw.2007","NDG.raw.2008","NDG.raw.2009","NDG.raw.2010","NDG.raw.2011","NDG.raw.2012","NDG.raw.2013","NDG.raw.2014","NDG.raw.2015","NDG.raw.2016","NDG.raw.2017","NDG.raw.2018","NDG.raw.2019","NDG.raw.2020","NDG.raw.2021","NDG.raw.2022"
4,"AFG","Afghanistan",NA,NA,4.42542801542097e-10,4.23713484794369e-10,4.14435828986452e-10,3.90769868984544e-10,3.53648167801258e-10,3.05639146087305e-10,3.2083192197234e-10,2.86322104426866e-10,2.76625688941348e-10,2.85911464729728e-10,2.53574869399114e-10,2.40126023940597e-10,2.48010695716652e-10,2.43057813214992e-10,2.34937569061515e-10,2.39586926740349e-10,2.32802945278212e-10,2.13855802343027e-10,2.1509402581934e-10,2.63021469131248e-10,NA
8,"ALB","Albania",2.30190114935865e-10,2.06474021813625e-10,2.21778352227544e-10,2.12458737845453e-10,1.92202208947804e-10,1.84201609882719e-10,1.68474992216674e-10,1.55284059846046e-10,1.36577352584612e-10,1.30488882257843e-10,1.25185936888701e-10,1.26749914962371e-10,1.24364518079277e-10,1.20698514717262e-10,1.20386477167083e-10,1.21572549689472e-10,1.20783266501463e-10,1.1363358916667e-10,9.95497442440197e-11,9.95668590719872e-11,9.44747945774811e-11,6.82279153850741e-11,6.39134418606052e-11
12,"DZA","Algeria",6.58304283945723e-11,6.75036573478469e-11,6.12037512220523e-11,6.02648877080196e-11,6.50789017991857e-11,5.57098786065214e-11,5.44962775649322e-11,6.17159515826025e-11,5.81360509065445e-11,6.27325912311852e-11,6.308627977157e-11,6.30318655442222e-11,6.52454483463319e-11,6.43948800032673e-11,6.47153324770839e-11,6.34822700788596e-11,6.13053061462771e-11,6.03127193453595e-11,6.08179763796054e-11,6.08199902867241e-11,6.17541545072595e-11,6.01340248411972e-11,5.87240504370545e-11
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75647078671815e-11,3.42419465111244e-11,3.67675146127428e-11,3.84901158921993e-11,3.73404248542259e-11,3.71449196593271e-11,3.55249304269868e-11,3.596428651706e-11,3.51138315039667e-11,3.4594089904714e-11,3.63514234103662e-11,3.43146600368535e-11,2.89490280011236e-11
24,"AGO","Angola",6.32117265081717e-10,6.32600823510463e-10,6.00110276379261e-10,6.65173673483277e-10,5.96666195618748e-10,5.12904641750637e-10,4.24143205253068e-10,3.98735480718544e-10,3.38745623430343e-10,3.3585725107113e-10,3.37848378623831e-10,3.38345750853689e-10,2.95859939655574e-10,2.93225612184504e-10,2.71176489209903e-10,2.79797878112885e-10,2.90414639071574e-10,2.91760098054704e-10,2.66830530799209e-10,3.01019959655028e-10,3.05114809077119e-10,3.04930897160643e-10,2.98297741755488e-10
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",4.90682526724772e-11,5.2158861966262e-11,5.28949078060001e-11,5.45704046278113e-11,5.27901602403219e-11,5.00169652983017e-11,4.48200847081856e-11,4.16081292924118e-11,4.20697258247718e-11,5.02014398156953e-11,4.56744521855402e-11,4.72233424605299e-11,4.7098567138326e-11,4.86839996441872e-11,4.69633381797828e-11,4.54629428568202e-11,4.33666869763207e-11,3.42272121209193e-11,3.17441482886642e-11,3.53508408513938e-11,4.20464714848445e-11,4.14544721531541e-11,3.89669652649602e-11
32,"ARG","Argentina",1.9804026623131e-10,2.04127566531295e-10,2.32504403605368e-10,2.35617101100994e-10,2.17544538233571e-10,1.98530592997797e-10,1.89869215969326e-10,1.83169636108924e-10,1.70628153679856e-10,1.59552747614937e-10,1.49052077302637e-10,1.44543070075597e-10,1.44055108795954e-10,1.45522245171193e-10,1.50268051558071e-10,1.45304403404233e-10,1.5828419378683e-10,1.61642504668757e-10,1.6302298932734e-10,1.73408784899878e-10,1.97033002023048e-10,1.79488813162511e-10,1.72474044445221e-10
51,"ARM","Armenia",1.42437581283807e-10,1.32164030636597e-10,1.34914204814063e-10,1.15500942884963e-10,1.13794032400193e-10,9.80986935075788e-11,1.28192345899274e-10,9.90479990330993e-11,9.03548744236108e-11,1.10158551525926e-10,1.01050530386828e-10,1.01161343166842e-10,1.13707142356622e-10,1.18144669037662e-10,1.09677098500486e-10,1.1774926338866e-10,1.70244981357051e-10,1.20807716754507e-10,1.10573170655575e-10,1.0177268137246e-10,1.10469340149756e-10,1.04512147730536e-10,9.50591436441841e-11
533,"ABW","Aruba",7.95608947814516e-12,7.72246771310811e-12,7.50511856214578e-12,8.54821247580077e-12,8.34492376497505e-12,8.83656293909924e-12,8.73705609723527e-12,8.60420198550395e-12,8.04209539047502e-12,9.71114881539936e-12,9.92471833769347e-12,7.2799118405709e-12,1.04259328215331e-11,9.22462679317171e-12,9.30816689797911e-12,8.98960846606016e-12,8.7260466158577e-12,7.19879759036434e-12,6.7696510490181e-12,7.7636179038272e-12,9.11187102311189e-12,8.30776889025818e-12,NA
