"code","iso","country","NDP.raw.2000","NDP.raw.2001","NDP.raw.2002","NDP.raw.2003","NDP.raw.2004","NDP.raw.2005","NDP.raw.2006","NDP.raw.2007","NDP.raw.2008","NDP.raw.2009","NDP.raw.2010","NDP.raw.2011","NDP.raw.2012","NDP.raw.2013","NDP.raw.2014","NDP.raw.2015","NDP.raw.2016","NDP.raw.2017","NDP.raw.2018","NDP.raw.2019","NDP.raw.2020","NDP.raw.2021","NDP.raw.2022"
4,"AFG","Afghanistan",5.98680385623852e-07,5.23144523194908e-07,5.66659758814369e-07,5.47579104204745e-07,5.22214251260882e-07,5.28446154061062e-07,4.83434621402303e-07,4.67121931679673e-07,4.99485397601161e-07,5.22177823312333e-07,5.60488962056742e-07,5.60699920343003e-07,5.38296532395489e-07,5.19954704336159e-07,5.31846445538771e-07,5.12539455539113e-07,4.93703020079537e-07,5.021965065191e-07,4.79736790229419e-07,4.44803358392443e-07,4.2337839020246e-07,3.99007847037948e-07,3.86590690978828e-07
8,"ALB","Albania",1.35641417184117e-06,1.32999016722257e-06,1.49786464154493e-06,1.51992883311576e-06,1.45691736767738e-06,1.4809959332383e-06,1.44358634968808e-06,1.42086728796502e-06,1.35377499648833e-06,1.34584950601516e-06,1.34568202563593e-06,1.40093866332553e-06,1.39635864144303e-06,1.37128630109164e-06,1.39489613388788e-06,1.44409194561189e-06,1.48464883535036e-06,1.45121364266109e-06,1.32571581676654e-06,1.35940446872687e-06,1.25447125622258e-06,9.95850858530138e-07,9.90764632512788e-07
12,"DZA","Algeria",5.78398674674174e-07,6.02545079906932e-07,5.6917543175751e-07,5.92714916010893e-07,6.58255231145094e-07,5.88651348178473e-07,5.77238038610944e-07,6.65022217774355e-07,6.30612013008427e-07,6.79053724145136e-07,6.94437782056085e-07,7.00534192896085e-07,7.35361942867047e-07,7.31566895766401e-07,7.48190771515748e-07,7.4602041101729e-07,7.28817279038033e-07,7.12262035806312e-07,7.13144155508167e-07,7.07171051657955e-07,6.69709649337726e-07,6.63226505500966e-07,6.56968402603599e-07
20,"AND","Andorra",2.6627532263189e-06,2.60984960188735e-06,2.54061454642973e-06,2.46255429120381e-06,2.44368476466536e-06,2.34259514443916e-06,2.24380149836078e-06,2.27714665847917e-06,2.19577937019262e-06,2.15295455776418e-06,2.22318544722381e-06,2.06895574418638e-06,2.09820737048146e-06,2.10181176173862e-06,2.09435780008657e-06,2.10464694895883e-06,2.05403915081334e-06,2.05858851253437e-06,1.99965339341181e-06,1.99101423837156e-06,1.81467181467181e-06,1.83465344029152e-06,1.66616556424133e-06
24,"AGO","Angola",2.98888707386858e-06,3.01624635283578e-06,3.14567040145091e-06,3.47047081764403e-06,3.33490933548202e-06,3.18236237092474e-06,2.83201255409838e-06,2.92687350033602e-06,2.66463551981276e-06,2.56801302524641e-06,2.59799346735185e-06,2.5928402734956e-06,2.37014879770331e-06,2.37503328297447e-06,2.21908184051238e-06,2.2291176736288e-06,2.17460306462625e-06,2.10535877365897e-06,1.83541782759242e-06,1.98741481161224e-06,1.83974829132256e-06,1.80270135087252e-06,1.76178096892727e-06
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",9.09999333821864e-07,9.09269828773863e-07,9.19748688386553e-07,9.95196926032661e-07,1.00708123788652e-06,1.00414428626877e-06,1.00129797886149e-06,1.00224346468982e-06,9.98186207973478e-07,1.03272056214068e-06,8.5419219324348e-07,8.55538516528497e-07,8.72550585122157e-07,8.88165700532222e-07,8.8193105921377e-07,8.79465427335698e-07,8.78936442736628e-07,7.11157936325025e-07,7.00674481042499e-07,8.09839660431842e-07,7.8995078995079e-07,8.24939121852841e-07,8.36150720433433e-07
32,"ARG","Argentina",3.66865822655874e-06,3.57519310111529e-06,3.58980861780015e-06,3.91868324719023e-06,3.90495737183025e-06,3.83921363076455e-06,3.92635167379485e-06,4.08766040399476e-06,3.92314908495403e-06,3.4165481566887e-06,3.50589418039463e-06,3.56264400534251e-06,3.47444608403688e-06,3.55425517206327e-06,3.53882749973635e-06,3.47769911531508e-06,3.67053565595042e-06,3.8142972165325e-06,3.70832333397057e-06,3.82743501860935e-06,3.87863717824033e-06,3.86389088529315e-06,3.87154013543469e-06
51,"ARM","Armenia",5.58619899555724e-07,5.74504816744134e-07,6.6987929612433e-07,6.58214287335503e-07,7.20868826337481e-07,7.12118417745072e-07,1.0606359983162e-06,9.38625539335233e-07,9.21760623123589e-07,9.71562893854055e-07,9.16405802138484e-07,9.6620798531637e-07,1.17004372395066e-06,1.26146650651327e-06,1.21802258186184e-06,1.35482761555551e-06,1.97150219743984e-06,1.51126099828081e-06,1.46304128561492e-06,1.45713574619886e-06,1.47561598056464e-06,1.48335312331824e-06,1.52492259399403e-06
533,"ABW","Aruba",2.96292970898194e-07,2.94406280667321e-07,2.80014382061647e-07,3.19306156352143e-07,3.31409022877913e-07,3.46094006329181e-07,3.42028742965923e-07,3.43021273518138e-07,3.2246214131189e-07,3.39676652017901e-07,3.33861532175282e-07,2.50770081352184e-07,3.52554058288938e-07,3.29510108864697e-07,3.30134949900573e-07,3.28035527590474e-07,3.23245036901425e-07,2.79782623128065e-07,2.75570487533267e-07,3.16604347907781e-07,3.02106300136042e-07,3.22892516215024e-07,3.34445018554183e-07
36,"AUS","Australia",1.78676513634437e-05,1.94036732398599e-05,1.80557172761925e-05,1.1054353597434e-05,1.49001225221523e-05,1.10027118215317e-05,1.39846694772267e-05,1.30115670430354e-05,1.03062708387267e-05,1.06953582560075e-05,8.80547391832242e-06,1.65622024398899e-05,1.63635415894585e-05,9.98783775375864e-06,1.16716504045931e-05,1.10010100354825e-05,8.84629914868426e-06,1.17507370233033e-05,1.12950707870497e-05,9.03701811235476e-06,7.32792368856184e-06,8.48642671956903e-06,8.69935584349397e-06
40,"AUT","Austria",2.07200439963922e-06,2.0765222057938e-06,2.09107769318743e-06,2.00703743666596e-06,1.77435882626041e-06,1.75015790921275e-06,1.74151955563194e-06,1.69971937753624e-06,1.80256050114066e-06,1.63004596609768e-06,1.6620026965097e-06,1.72790954047974e-06,1.63701242385668e-06,1.65097785649535e-06,1.66152685425227e-06,1.67771664846826e-06,1.65967162767316e-06,1.62544958457828e-06,1.58361707415208e-06,1.54280669195218e-06,1.55884400614386e-06,1.51856948075085e-06,1.48188648130257e-06
31,"AZE","Azerbaijan",9.1568720025843e-07,9.7026333957984e-07,1.01077466210635e-06,1.03957931042858e-06,1.09071209293926e-06,1.1153678866996e-06,1.14325450377451e-06,1.14667940754897e-06,1.20957619188899e-06,1.18472248937466e-06,1.15966589252526e-06,1.18825930041833e-06,1.21560483763392e-06,1.22122151673376e-06,1.22704804018928e-06,1.34724226245088e-06,1.3117694827488e-06,1.26851614968206e-06,1.36824077737807e-06,1.42653594277017e-06,1.52579167534007e-06,1.52893886710562e-06,1.58230709416083e-06
44,"BHS","Bahamas",7.59967262948673e-07,7.70570282684012e-07,7.42510523889079e-07,5.84950810954533e-07,7.46162074563743e-07,6.52666444319214e-07,6.74863325998684e-07,7.38118803576521e-07,7.82811229482214e-07,6.24903207927033e-07,6.4832079555927e-07,6.77338272258235e-07,7.04076050683006e-07,7.28639958511604e-07,6.50166653389219e-07,6.46809117462064e-07,6.7933410105663e-07,6.19016590647085e-07,5.74761262583788e-07,5.98185175389377e-07,6.00288827493228e-07,5.98177030982628e-07,5.9270605682173e-07
