"code","iso","country","UWX.raw.1990","UWX.raw.1991","UWX.raw.1992","UWX.raw.1993","UWX.raw.1994","UWX.raw.1995","UWX.raw.1996","UWX.raw.1997","UWX.raw.1998","UWX.raw.1999","UWX.raw.2000","UWX.raw.2001","UWX.raw.2002","UWX.raw.2003","UWX.raw.2004","UWX.raw.2005","UWX.raw.2006","UWX.raw.2007","UWX.raw.2008","UWX.raw.2009","UWX.raw.2010","UWX.raw.2011","UWX.raw.2012","UWX.raw.2013","UWX.raw.2014","UWX.raw.2015","UWX.raw.2016","UWX.raw.2017","UWX.raw.2018","UWX.raw.2019","UWX.raw.2020","UWX.raw.2021"
4,"AFG","Afghanistan",9.07789545568199,9.08057396886416,9.09258528354803,9.13066504545898,9.17454418096535,9.19996908293242,9.22848499362033,9.2601761418225,9.28751042788562,9.30801184155264,9.32190071738992,9.33386465275962,9.32183934251537,9.30661874644053,9.29686609882725,9.27859211890443,9.26129267282186,9.20281522735694,9.14435216132044,9.08059872525798,9.01640998531847,8.9699664172793,8.92142064210339,8.87500941378965,8.83604512961427,8.82619689864915,8.77435527155535,8.7235437793329,8.67237193818788,8.61993366277876,8.57022490524449,8.51989360165357
8,"ALB","Albania",4.19931297226039,4.2363569570937,4.27942922192674,4.2980425349017,4.28745417023592,4.24882697911434,4.17975500125025,4.12443213959158,4.05986316262193,3.99001299686609,3.9183170464599,3.84125337572832,3.77632302449155,3.72044700488254,3.67936362684756,3.63796672347171,3.60992128794952,3.58888056812973,3.5740378121857,3.54975499047211,3.53253646057132,3.5151667990771,3.48883342142341,3.45790582639284,3.42792159402313,3.40560380013291,3.40215751263684,3.44037938055546,3.38630074536987,3.33398152024482,3.29618728004842,3.26110723490424
12,"DZA","Algeria",3.06277302640015,2.98179945167539,2.91019488505694,2.94515828859822,2.98859411784759,3.02868955668545,3.06420981127089,3.10658998046207,3.14744969407326,3.18310390851683,3.20867854555512,3.2302930336004,3.24857693533611,3.26077326941357,3.2424812621307,3.22229950670615,3.21292631342778,3.21343314207866,3.21356849142227,3.22520171273612,3.23504429860956,3.23500222017161,3.2322591831111,3.18872313282233,3.14547414543444,3.10774435815945,3.0648036456068,3.00457308795272,2.96747709523165,2.92336254889572,2.88842327230959,2.85338133029006
20,"AND","Andorra",1.08187409592048,1.08099331209595,1.0779010916149,1.07499033665172,1.07227247520683,1.06956484788993,1.06666568433144,1.06356910508709,1.06058441264512,1.05773208739403,1.0552261961214,1.05287120585846,1.05217980380455,1.05134571465568,1.05054211566446,1.04981787881813,1.04905571837581,1.04827596038992,1.0474295251048,1.04649988492728,1.04550410420161,1.04438260258449,1.0439358353975,1.0436329332273,1.04335735695402,1.04304751591661,1.04280424633805,1.04268027424314,1.04243250732831,1.04219947687885,1.04199430427714,1.04179909850888
24,"AGO","Angola",8.86773525199209,8.828935965711,8.78895473438652,8.7559836660296,8.72351979140706,8.69073971209891,8.65245002995391,8.65273587912667,8.64983975302554,8.64574811319372,8.64407173028174,8.63737606561566,8.62757640801767,8.61507850469748,8.59640297051463,8.56769899609401,8.52888324313853,8.4831976991676,8.45088499662849,8.40432899803254,8.35106608363702,8.28900449096776,8.20189128753753,8.1090493297641,8.00615018717978,7.9078675152721,7.83549627548072,7.76901683133075,7.70307171202668,7.63651832567336,7.57154833093072,7.5109750946001
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",5.48354670550252,5.44003686012933,5.38006801028492,5.32272460963397,5.26783775427476,5.21559477138796,5.156179131222,5.08713499369334,5.01645590744561,4.94740449941587,4.87866036054775,4.82373509717196,4.79037414158529,4.75641020016012,4.72468587121868,4.69794486561294,4.6707167209389,4.64411469755374,4.62885714652175,4.63484930636988,4.64441086311131,4.6744412664849,4.71160897206598,4.72523752002308,4.72777672627451,4.72015868836663,4.71154691855785,4.68160328048331,4.64554583921691,4.60747875764232,4.58214953243409,4.5571754254698
32,"ARG","Argentina",4.81173635854237,4.69799944953463,4.45461798356643,4.2338465969511,4.00169877715185,3.77552470448719,3.56286785954686,3.36542482086541,3.20161002857599,3.05682440340339,2.89629796562742,2.77780615750389,2.65928896160969,2.56949195297773,2.48784741758542,2.36994385683485,2.27494784332532,2.2054721606088,2.1385858924257,2.06970867513485,2.01206601877044,1.9758957302259,1.95003956022209,1.93951624558006,1.93064542065723,1.8955715381183,1.86757903019326,1.84222565295644,1.82087778194122,1.80312064438643,1.79033240560787,1.77948051391871
51,"ARM","Armenia",3.00644726222628,2.96300358066011,2.944724051277,2.92233298937351,2.89958219672413,2.8693895151564,2.82612894643434,2.77614853497255,2.7243340456519,2.6720158315567,2.61693750344836,2.57713168956034,2.50930308332854,2.43668558887219,2.36686842665299,2.29851330935745,2.24700996380966,2.19117377090624,2.14034837890318,2.10668960329986,2.07282641488517,2.04890797697796,2.00880265332841,1.96590407834869,1.92248615916577,1.87680563293215,1.84397696595678,1.83288341152822,1.8217794243491,1.80777867366822,1.79880950475918,1.79009653334826
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
